CoflowId,ArrivalTime,FlowNum,MapperId,ReducerId,PacketArrival,PacketSize,PacketMean,PacketVariance,Src,Dst
234,1075242,19551,2,0,1597634093.239479,869,871,446876173,00:00:00:00:00:04,00:00:00:00:00:09
234,1075242,19551,0,0,1597634093.247255,874,871,446876173,00:00:00:00:00:02,00:00:00:00:00:09
234,1075242,19551,1,0,1597634093.250416,875,871,446876173,00:00:00:00:00:03,00:00:00:00:00:09
234,1075242,19551,7,0,1597634093.280822,875,871,446876173,00:00:00:00:00:01,00:00:00:00:00:09
234,1075242,19551,5,0,1597634093.290081,864,871,446876173,00:00:00:00:00:07,00:00:00:00:00:09
234,1075242,19551,3,0,1597634093.292187,879,871,446876173,00:00:00:00:00:05,00:00:00:00:00:09
234,1075242,19551,6,0,1597634093.304808,871,871,446876173,00:00:00:00:00:08,00:00:00:00:00:09
234,1075242,19551,4,0,1597634093.425611,872,871,446876173,00:00:00:00:00:06,00:00:00:00:00:09
234,1075242,19551,1,8,1597634094.849589,875,871,446876173,00:00:00:00:00:03,00:00:00:00:00:09
234,1075242,19551,0,8,1597634094.86555,872,871,446876173,00:00:00:00:00:02,00:00:00:00:00:09
234,1075242,19551,7,8,1597634094.888042,870,871,446876173,00:00:00:00:00:01,00:00:00:00:00:09
234,1075242,19551,2,8,1597634094.964905,868,871,446876173,00:00:00:00:00:04,00:00:00:00:00:09
234,1075242,19551,3,8,1597634095.029515,869,871,446876173,00:00:00:00:00:05,00:00:00:00:00:09
234,1075242,19551,5,8,1597634095.372061,869,871,446876173,00:00:00:00:00:07,00:00:00:00:00:09
234,1075242,19551,6,8,1597634095.690301,870,871,446876173,00:00:00:00:00:08,00:00:00:00:00:09
234,1075242,19551,4,8,1597634096.113383,872,871,446876173,00:00:00:00:00:06,00:00:00:00:00:09
234,1075242,19551,0,16,1597634096.124109,879,871,446876173,00:00:00:00:00:02,00:00:00:00:00:09
234,1075242,19551,1,16,1597634096.144227,873,871,446876173,00:00:00:00:00:03,00:00:00:00:00:09
234,1075242,19551,7,16,1597634096.170819,871,871,446876173,00:00:00:00:00:01,00:00:00:00:00:09
234,1075242,19551,2,16,1597634096.242981,876,871,446876173,00:00:00:00:00:04,00:00:00:00:00:09
234,1075242,19551,3,16,1597634096.258818,866,871,446876173,00:00:00:00:00:05,00:00:00:00:00:09
234,1075242,19551,5,16,1597634096.946702,872,871,446876173,00:00:00:00:00:07,00:00:00:00:00:09
234,1075242,19551,0,24,1597634097.394882,870,871,446876173,00:00:00:00:00:02,00:00:00:00:00:09
234,1075242,19551,1,24,1597634097.447082,880,871,446876173,00:00:00:00:00:03,00:00:00:00:00:09
234,1075242,19551,2,24,1597634097.535294,877,871,446876173,00:00:00:00:00:04,00:00:00:00:00:09
234,1075242,19551,3,24,1597634097.550294,873,871,446876173,00:00:00:00:00:05,00:00:00:00:00:09
234,1075242,19551,7,24,1597634097.565585,867,871,446876173,00:00:00:00:00:01,00:00:00:00:00:09
234,1075242,19551,6,16,1597634098.051194,875,871,446876173,00:00:00:00:00:08,00:00:00:00:00:09
234,1075242,19551,4,16,1597634098.18942,868,871,446876173,00:00:00:00:00:06,00:00:00:00:00:09
234,1075242,19551,0,32,1597634098.564535,876,871,446876173,00:00:00:00:00:02,00:00:00:00:00:09
234,1075242,19551,1,32,1597634098.578882,868,871,446876173,00:00:00:00:00:03,00:00:00:00:00:09
234,1075242,19551,5,24,1597634098.582807,878,871,446876173,00:00:00:00:00:07,00:00:00:00:00:09
234,1075242,19551,2,32,1597634098.615492,875,871,446876173,00:00:00:00:00:04,00:00:00:00:00:09
234,1075242,19551,7,32,1597634098.696213,869,871,446876173,00:00:00:00:00:01,00:00:00:00:00:09
234,1075242,19551,3,32,1597634098.715967,859,871,446876173,00:00:00:00:00:05,00:00:00:00:00:09
234,1075242,19551,0,40,1597634099.742507,867,871,446876173,00:00:00:00:00:02,00:00:00:00:00:09
234,1075242,19551,1,40,1597634099.771327,877,871,446876173,00:00:00:00:00:03,00:00:00:00:00:09
234,1075242,19551,2,40,1597634099.775236,888,871,446876173,00:00:00:00:00:04,00:00:00:00:00:09
234,1075242,19551,3,40,1597634099.898604,872,871,446876173,00:00:00:00:00:05,00:00:00:00:00:09
234,1075242,19551,7,40,1597634099.912926,870,871,446876173,00:00:00:00:00:01,00:00:00:00:00:09
234,1075242,19551,5,32,1597634100.024755,867,871,446876173,00:00:00:00:00:07,00:00:00:00:00:09
234,1075242,19551,4,24,1597634100.360462,868,871,446876173,00:00:00:00:00:06,00:00:00:00:00:09
234,1075242,19551,6,24,1597634100.611994,867,871,446876173,00:00:00:00:00:08,00:00:00:00:00:09
234,1075242,19551,2,48,1597634100.872266,872,871,446876173,00:00:00:00:00:04,00:00:00:00:00:09
234,1075242,19551,0,48,1597634100.978887,872,871,446876173,00:00:00:00:00:02,00:00:00:00:00:09
234,1075242,19551,1,48,1597634100.979766,874,871,446876173,00:00:00:00:00:03,00:00:00:00:00:09
234,1075242,19551,3,48,1597634101.016915,871,871,446876173,00:00:00:00:00:05,00:00:00:00:00:09
234,1075242,19551,7,48,1597634101.040704,879,871,446876173,00:00:00:00:00:01,00:00:00:00:00:09
234,1075242,19551,5,40,1597634101.570849,875,871,446876173,00:00:00:00:00:07,00:00:00:00:00:09
234,1075242,19551,2,56,1597634102.005539,863,871,446876173,00:00:00:00:00:04,00:00:00:00:00:09
234,1075242,19551,3,56,1597634102.129629,872,871,446876173,00:00:00:00:00:05,00:00:00:00:00:09
234,1075242,19551,1,56,1597634102.132952,871,871,446876173,00:00:00:00:00:03,00:00:00:00:00:09
234,1075242,19551,0,56,1597634102.137102,871,871,446876173,00:00:00:00:00:02,00:00:00:00:00:09
234,1075242,19551,7,56,1597634102.141419,874,871,446876173,00:00:00:00:00:01,00:00:00:00:00:09
234,1075242,19551,6,32,1597634102.718833,870,871,446876173,00:00:00:00:00:08,00:00:00:00:00:09
234,1075242,19551,4,32,1597634102.753084,871,871,446876173,00:00:00:00:00:06,00:00:00:00:00:09
234,1075242,19551,5,48,1597634103.106425,862,871,446876173,00:00:00:00:00:07,00:00:00:00:00:09
234,1075242,19551,3,64,1597634103.17085,862,871,446876173,00:00:00:00:00:05,00:00:00:00:00:09
234,1075242,19551,2,64,1597634103.204172,873,871,446876173,00:00:00:00:00:04,00:00:00:00:00:09
234,1075242,19551,7,64,1597634103.22034,867,871,446876173,00:00:00:00:00:01,00:00:00:00:00:09
234,1075242,19551,1,64,1597634103.220409,872,871,446876173,00:00:00:00:00:03,00:00:00:00:00:09
234,1075242,19551,0,64,1597634103.224469,867,871,446876173,00:00:00:00:00:02,00:00:00:00:00:09
