Coflow ID,Start Time,Completion Time,Duration Time
45.0,"[10, 551090, 551080]"
30.0,"[1620, 538350, 536730]"
57.0,"[9850, 864400, 854550]"
84.0,"[7400, 474780, 467380]"
85.0,"[7610, 867620, 860010]"
86.0,"[8350, 589720, 581370]"
89.0,"[9120, 593630, 584510]"
111.0,"[18790, 599810, 581020]"
120.0,"[18990, 633050, 614060]"
144.0,"[32440, 635160, 602720]"
153.0,"[22320, 636120, 613800]"
156.0,"[79350, 636380, 557030]"
165.0,"[110010, 873310, 763300]"
180.0,"[111020, 899770, 788750]"
201.0,"[158540, 917660, 759120]"
208.0,"[203620, 926020, 722400]"
217.0,"[205420, 930450, 725030]"
235.0,"[206020, 934630, 728610]"
239.0,"[207130, 941680, 734550]"
253.0,"[208870, 757630, 548760]"
264.0,"[212220, 703830, 491610]"
272.0,"[213360, 952420, 739060]"
278.0,"[215600, 713190, 497590]"
281.0,"[215800, 956000, 740200]"
287.0,"[216310, 971860, 755550]"
296.0,"[217370, 816490, 599120]"
312.0,"[217920, 976830, 758910]"
314.0,"[220220, 985530, 765310]"
327.0,"[223020, 993520, 770500]"
355.0,"[224620, 1002440, 777820]"
363.0,"[225420, 1009610, 784190]"
387.0,"[225620, 1010810, 785190]"
411.0,"[228020, 1011050, 783030]"
457.0,"[232050, 1190550, 958500]"
473.0,"[411590, 806130, 394540]"
480.0,"[411770, 1102830, 691060]"
489.0,"[412190, 1165000, 752810]"
526.0,"[464760, 851190, 386430]"
266.0,"[213160, 763320, 550160]"
309.0,"[217570, 822960, 605390]"
AverageCCT,669043.75
