Coflow ID,Start Time,Completion Time,Duration Time
34.0,"[10, 891530, 891520]"
60.0,"[880, 692580, 691700]"
93.0,"[1590, 707990, 706400]"
116.0,"[2960, 948110, 945150]"
124.0,"[6210, 948250, 942040]"
134.0,"[6930, 697580, 690650]"
158.0,"[7880, 729220, 721340]"
159.0,"[12650, 948270, 935620]"
167.0,"[93740, 1004190, 910450]"
168.0,"[119600, 627710, 508110]"
180.0,"[120140, 1031030, 910890]"
229.0,"[170260, 740220, 569960]"
232.0,"[170570, 745870, 575300]"
245.0,"[170970, 1227520, 1056550]"
252.0,"[225080, 1240200, 1015120]"
275.0,"[255700, 1255680, 999980]"
307.0,"[257270, 1397960, 1140690]"
312.0,"[322600, 1333370, 1010770]"
321.0,"[324430, 808330, 483900]"
327.0,"[324970, 1346660, 1021690]"
334.0,"[327850, 1346760, 1018910]"
347.0,"[498930, 1357530, 858600]"
384.0,"[499650, 1357750, 858100]"
391.0,"[503210, 667740, 164530]"
413.0,"[503430, 1357920, 854490]"
443.0,"[504910, 1359040, 854130]"
448.0,"[609220, 846950, 237730]"
466.0,"[612240, 864240, 252000]"
478.0,"[612730, 1360140, 747410]"
481.0,"[613020, 892720, 279700]"
485.0,"[613240, 894770, 281530]"
504.0,"[617500, 910390, 292890]"
150.0,"[8840, 729170, 720330]"
227.0,"[176640, 773060, 596420]"
233.0,"[177040, 786470, 609430]"
278.0,"[258690, 830990, 572300]"
284.0,"[259410, 839110, 579700]"
353.0,"[507280, 508030, 750]"
502.0,"[622410, 901930, 279520]"
506.0,"[623300, 928140, 304840]"
AverageCCT,677278.5
