timer,real cid,global size,mapping size,local sizes,queue sizes
13796,303.0,1930779.0,1003725.0,"[550345.0, 453380.0]","[50, 46]"
13868,303.0,1976585.0,1046589.0,"[488278.0, 558311.0]","[50, 50]"
16847,303.0,3884214.0,2175226.0,"[1145256.0, 1029970.0]","[100, 94]"
17204,303.0,4114097.0,2322745.0,"[1103590.0, 1219155.0]","[100, 106]"
19492,303.0,5585023.0,3453046.0,"[1776610.0, 1676436.0]","[150, 145]"
19693,303.0,5714802.0,3549733.0,"[1738847.0, 1810886.0]","[150, 152]"
22021,303.0,7125026.0,4567098.0,"[2393486.0, 2173612.0]","[200, 185]"
22897,303.0,7632991.0,4935870.0,"[2351096.0, 2584774.0]","[200, 218]"
24377,303.0,8490416.0,5675194.0,"[2960799.0, 2714395.0]","[250, 229]"
25626,303.0,9214687.0,6254985.0,"[2963238.0, 3291747.0]","[250, 274]"
27613,303.0,10362560.0,6870474.0,"[3598463.0, 3272011.0]","[300, 277]"
28536,303.0,10896033.0,7341492.0,"[3556741.0, 3784751.0]","[300, 314]"
30560,303.0,12063989.0,8180068.0,"[4241672.0, 3938396.0]","[350, 329]"
32236,303.0,13032067.0,8690009.0,"[4150321.0, 4539688.0]","[350, 373]"
34177,303.0,14156010.0,9282875.0,"[4836506.0, 4446369.0]","[400, 376]"
36556,303.0,15536123.0,9865102.0,"[4701884.0, 5163218.0]","[400, 425]"
38707,303.0,16778358.0,10696895.0,"[5563193.0, 5133702.0]","[450, 427]"
40238,303.0,17666444.0,11391785.0,"[5422323.0, 5969462.0]","[450, 480]"
41499,303.0,18394916.0,12011357.0,"[6251962.0, 5759395.0]","[500, 473]"
42827,303.0,19161102.0,12804805.0,"[6148651.0, 6656154.0]","[500, 524]"
45506,303.0,20710382.0,13695817.0,"[7121566.0, 6574251.0]","[550, 522]"
48049,303.0,22187368.0,14704506.0,"[7001084.0, 7703422.0]","[550, 577]"
49426,303.0,22982911.0,15467521.0,"[8054293.0, 7413228.0]","[600, 581]"
50025,303.0,23328682.0,15811573.0,"[7613742.0, 8197831.0]","[600, 607]"
52023,303.0,24482708.0,16798841.0,"[8655565.0, 8143276.0]","[650, 645]"
52173,303.0,24569770.0,16888256.0,"[8185884.0, 8702372.0]","[650, 654]"
54124,303.0,25702536.0,17814007.0,"[9108140.0, 8705867.0]","[700, 691]"
54746,303.0,26062201.0,17984974.0,"[8778473.0, 9206501.0]","[700, 708]"
57575,303.0,27698155.0,19173860.0,"[9746811.0, 9427049.0]","[750, 730]"
60350,303.0,29305648.0,20562183.0,"[10140970.0, 10421213.0]","[750, 763]"
62957,303.0,30814687.0,22087495.0,"[10940366.0, 11147129.0]","[800, 795]"
63186,303.0,30947913.0,22223948.0,"[11210254.0, 11013694.0]","[800, 808]"
65977,303.0,32561798.0,23194584.0,"[11600518.0, 11594066.0]","[850, 845]"
66349,303.0,32776342.0,23311759.0,"[11635652.0, 11676107.0]","[850, 857]"
68642,303.0,34104488.0,24437285.0,"[12190220.0, 12247065.0]","[900, 897]"
68856,303.0,34229703.0,24524629.0,"[12278635.0, 12245994.0]","[900, 903]"
72558,303.0,36373698.0,26356147.0,"[13120775.0, 13235372.0]","[950, 945]"
72801,303.0,36514606.0,26517464.0,"[13314344.0, 13203120.0]","[950, 954]"
76279,303.0,38526271.0,28477358.0,"[14217166.0, 14260192.0]","[1000, 999]"
76339,303.0,38561006.0,28495309.0,"[14261741.0, 14233568.0]","[1000, 1002]"
78993,303.0,40102222.0,29859436.0,"[14925877.0, 14933559.0]","[1050, 1041]"
79654,303.0,40484354.0,30241134.0,"[15119381.0, 15121753.0]","[1050, 1061]"
81978,303.0,41826441.0,31442051.0,"[15662301.0, 15779750.0]","[1100, 1092]"
82343,303.0,42037045.0,31623731.0,"[15884025.0, 15739706.0]","[1100, 1108]"
84522,303.0,43297459.0,32804714.0,"[16349185.0, 16455529.0]","[1150, 1136]"
85195,303.0,43690363.0,33150209.0,"[16631135.0, 16519074.0]","[1150, 1163]"
87074,303.0,44779447.0,34222709.0,"[17066159.0, 17156550.0]","[1200, 1184]"
88087,303.0,45365855.0,34769291.0,"[17425323.0, 17343968.0]","[1200, 1214]"
90028,303.0,46492320.0,35728568.0,"[17795881.0, 17932687.0]","[1250, 1234]"
