timer,cid,global,local with mapping,local
2314,30.0,"[(200.0, 15833.0), (30.0, 1115403.0)]","[[(30.0, 567259.0)], [(200.0, 15248.0), (30.0, 547164.0)]]","[[(30.0, 567259.0)], [(200.0, 15248.0), (30.0, 547164.0)]]"
4554,200.0,"[(251.0, 44933.0), (200.0, 511756.0), (330.0, 657628.0), (30.0, 1115403.0)]","[[(200.0, 428657.0), (30.0, 568239.0)], [(251.0, 25660.0), (200.0, 78459.0), (30.0, 547164.0), (330.0, 638682.0)]]","[[(200.0, 428657.0), (30.0, 568239.0)], [(251.0, 25660.0), (200.0, 78459.0), (30.0, 547164.0), (330.0, 638682.0)]]"
5217,251.0,"[(251.0, 92340.0), (200.0, 511756.0), (330.0, 996484.0), (30.0, 1115403.0)]","[[(251.0, 21842.0), (200.0, 433297.0), (30.0, 568239.0)], [(251.0, 25660.0), (200.0, 78459.0), (30.0, 547164.0), (330.0, 977587.0)]]","[[(251.0, 21842.0), (200.0, 433297.0), (30.0, 568239.0)], [(251.0, 25660.0), (200.0, 78459.0), (30.0, 547164.0), (330.0, 977587.0)]]"
7176,330.0,"[(251.0, 92340.0), (408.0, 308193.0), (200.0, 511756.0), (30.0, 1115403.0), (330.0, 2807561.0)]","[[(251.0, 22734.0), (200.0, 433297.0), (30.0, 568239.0), (330.0, 998157.0)], [(251.0, 25660.0), (200.0, 78459.0), (30.0, 547164.0), (330.0, 1806307.0)]]","[[(251.0, 22734.0), (200.0, 433297.0), (30.0, 568239.0), (330.0, 998157.0)], [(251.0, 25660.0), (200.0, 78459.0), (30.0, 547164.0), (330.0, 1806307.0)]]"
7954,371.0,"[(251.0, 92340.0), (415.0, 142375.0), (200.0, 511756.0), (371.0, 710154.0), (408.0, 810279.0), (30.0, 1115403.0), (330.0, 2807561.0)]","[[(251.0, 22734.0), (200.0, 433297.0), (30.0, 568239.0), (371.0, 706491.0), (330.0, 1001254.0)], [(251.0, 25660.0), (200.0, 78459.0), (415.0, 139816.0), (30.0, 547164.0), (330.0, 1806307.0)]]","[[(251.0, 22734.0), (200.0, 433297.0), (30.0, 568239.0), (371.0, 706491.0), (330.0, 1001254.0)], [(251.0, 25660.0), (200.0, 78459.0), (415.0, 139816.0), (30.0, 547164.0), (330.0, 1806307.0)]]"
10691,408.0,"[(251.0, 92340.0), (200.0, 511756.0), (371.0, 710154.0), (30.0, 1115403.0), (415.0, 1878744.0), (330.0, 2807561.0), (408.0, 3634451.0)]","[[(251.0, 22734.0), (415.0, 431470.0), (200.0, 433297.0), (30.0, 568239.0), (371.0, 710154.0), (330.0, 1001254.0)], [(251.0, 25660.0), (200.0, 78459.0), (30.0, 547164.0), (415.0, 1431911.0), (330.0, 1806307.0)]]","[[(251.0, 22734.0), (415.0, 431470.0), (200.0, 433297.0), (30.0, 568239.0), (371.0, 710154.0), (330.0, 1001254.0)], [(251.0, 25660.0), (200.0, 78459.0), (30.0, 547164.0), (415.0, 1431911.0), (330.0, 1806307.0)]]"
11263,415.0,"[(251.0, 92340.0), (429.0, 180586.0), (200.0, 511756.0), (371.0, 710154.0), (30.0, 1115403.0), (415.0, 2463450.0), (330.0, 2807561.0), (408.0, 3634451.0)]","[[(251.0, 22734.0), (200.0, 433297.0), (30.0, 568239.0), (371.0, 710154.0), (415.0, 917190.0), (330.0, 1001254.0)], [(251.0, 25660.0), (200.0, 78459.0), (429.0, 175847.0), (30.0, 547164.0), (415.0, 1535169.0), (330.0, 1806307.0)]]","[[(251.0, 22734.0), (200.0, 433297.0), (30.0, 568239.0), (371.0, 710154.0), (415.0, 917190.0), (330.0, 1001254.0)], [(251.0, 25660.0), (200.0, 78459.0), (429.0, 175847.0), (30.0, 547164.0), (415.0, 1535169.0), (330.0, 1806307.0)]]"
11385,429.0,"[(525.0, 76485.0), (251.0, 92340.0), (429.0, 229182.0), (200.0, 511756.0), (371.0, 710154.0), (30.0, 1115403.0), (415.0, 2463450.0), (330.0, 2807561.0), (408.0, 3634451.0)]","[[(251.0, 22734.0), (525.0, 67083.0), (200.0, 433297.0), (30.0, 568239.0), (371.0, 710154.0), (415.0, 928281.0), (330.0, 1001254.0)], [(251.0, 25660.0), (200.0, 78459.0), (429.0, 223254.0), (30.0, 547164.0), (415.0, 1535169.0), (330.0, 1806307.0)]]","[[(251.0, 22734.0), (525.0, 67083.0), (200.0, 433297.0), (30.0, 568239.0), (371.0, 710154.0), (415.0, 928281.0), (330.0, 1001254.0)], [(251.0, 25660.0), (200.0, 78459.0), (429.0, 223254.0), (30.0, 547164.0), (415.0, 1535169.0), (330.0, 1806307.0)]]"
18849,513.0,"[(251.0, 92340.0), (429.0, 229182.0), (200.0, 511756.0), (371.0, 710154.0), (30.0, 1115403.0), (513.0, 2385096.0), (415.0, 2463450.0), (330.0, 2807561.0), (408.0, 3634451.0), (525.0, 4173942.0)]","[[(415.0, 928281.0), (525.0, 2246578.0)], [(429.0, 229182.0), (415.0, 1535169.0), (525.0, 1924860.0), (330.0, 4188686.0), (513.0, 4188686.0)]]","[[(415.0, 928281.0), (525.0, 2246578.0)], [(429.0, 229182.0), (415.0, 1535169.0), (525.0, 1924860.0), (330.0, 4188686.0), (513.0, 4188686.0)]]"
19913,525.0,"[(251.0, 92340.0), (429.0, 229182.0), (200.0, 511756.0), (371.0, 710154.0), (30.0, 1115403.0), (513.0, 2385096.0), (415.0, 2463450.0), (330.0, 2807561.0), (408.0, 3634451.0), (525.0, 4840442.0)]","[[(415.0, 928281.0), (525.0, 2246578.0)], [(429.0, 229182.0), (415.0, 1535169.0), (525.0, 2593864.0), (330.0, 4191403.0), (513.0, 4191403.0)]]","[[(415.0, 928281.0), (525.0, 2246578.0)], [(429.0, 229182.0), (415.0, 1535169.0), (525.0, 2593864.0), (330.0, 4191403.0), (513.0, 4191403.0)]]"
