timer,cid,global,local with mapping,local
10000,"[(132.0, 102599.0), (397.0, 158832.0), (395.0, 181132.0), (393.0, 286982.0), (290.0, 296942.0), (127.0, 341738.0), (21.0, 430818.0), (369.0, 552645.0), (267.0, 768234.0), (418.0, 970960.0), (281.0, 1359089.0), (152.0, 1851783.0), (237.0, 3654194.0)]",
    "[[(237.0, 18554.0), (132.0, 67315.0), (369.0, 83040.0), (397.0, 204079.0), (393.0, 250519.0), (21.0, 430818.0), (418.0, 486197.0), (267.0, 768234.0), (152.0, 884907.0)], 
    [(237.0, 33329.0), (418.0, 39489.0), (132.0, 57027.0), (393.0, 69500.0), (369.0, 78292.0), (395.0, 204141.0), (290.0, 329828.0), (127.0, 362975.0), (152.0, 1757770.0), (281.0, 1757770.0)]]",
    "[[(237.0, 18554.0), (132.0, 67315.0), (369.0, 83040.0), (397.0, 204079.0), (393.0, 250519.0), (21.0, 430818.0), (418.0, 446708.0), (267.0, 768234.0), (152.0, 884907.0)], 
    [(237.0, 33329.0), (418.0, 39489.0), (132.0, 57027.0), (393.0, 69500.0), (369.0, 78292.0), (395.0, 204141.0), (290.0, 329828.0), (127.0, 362975.0), (152.0, 1757770.0), (281.0, 1757770.0)]]"
20000,"[(132.0, 102599.0), (393.0, 286982.0), (290.0, 296942.0), (127.0, 341738.0), (395.0, 428138.0), (21.0, 430818.0), (397.0, 470282.0), (369.0, 552645.0), (267.0, 768234.0), (281.0, 1359089.0), (152.0, 1851783.0), (237.0, 3654194.0), (418.0, 4987208.0)]",
    "[[(393.0, 636120.0), (397.0, 636120.0), (418.0, 2123748.0)], 
    [(237.0, 101087.0), (393.0, 138464.0), (132.0, 138883.0), (369.0, 146163.0), (418.0, 313478.0), (127.0, 426887.0), (395.0, 539014.0), (290.0, 766668.0), (152.0, 1822889.0), (281.0, 1822889.0)]]",
    "[[(393.0, 636120.0), (397.0, 636120.0), (418.0, 1696861.0)], 
    [(237.0, 101087.0), (393.0, 138464.0), (132.0, 138883.0), (369.0, 146163.0), (418.0, 313478.0), (127.0, 426887.0), (395.0, 539014.0), (290.0, 766668.0), (152.0, 1822889.0), (281.0, 1822889.0)]]"
30000,"[(132.0, 102599.0), (290.0, 296942.0), (127.0, 341738.0), (395.0, 428138.0), (21.0, 430818.0), (393.0, 467640.0), (397.0, 470282.0), (369.0, 552645.0), (267.0, 768234.0), (281.0, 1359089.0), (152.0, 1851783.0), (237.0, 3654194.0), (418.0, 9079965.0)]","[[(393.0, 755654.0), (397.0, 755654.0), (418.0, 3291034.0)], [(393.0, 211356.0), (132.0, 214379.0), (237.0, 214560.0), (369.0, 250271.0), (127.0, 523845.0), (395.0, 618240.0), (290.0, 1365936.0), (418.0, 1365936.0), (152.0, 1931966.0), (281.0, 1931966.0)]]","[[(393.0, 755654.0), (397.0, 755654.0), (418.0, 3076655.0)], [(393.0, 211356.0), (132.0, 214379.0), (237.0, 214560.0), (369.0, 250271.0), (127.0, 523845.0), (395.0, 618240.0), (290.0, 1365936.0), (418.0, 1365936.0), (152.0, 1931966.0), (281.0, 1931966.0)]]"
40000,"[(132.0, 102599.0), (290.0, 296942.0), (127.0, 341738.0), (395.0, 428138.0), (21.0, 430818.0), (397.0, 470282.0), (393.0, 485456.0), (369.0, 552645.0), (267.0, 768234.0), (281.0, 1359089.0), (152.0, 1851783.0), (237.0, 3654194.0), (418.0, 13243357.0)]","[[(393.0, 1316069.0), (397.0, 1316069.0), (418.0, 6375559.0)], [(393.0, 316604.0), (132.0, 332893.0), (237.0, 342343.0), (369.0, 365716.0), (127.0, 685315.0), (395.0, 780626.0), (290.0, 1857591.0), (418.0, 1857591.0), (152.0, 2029753.0), (281.0, 2029753.0)]]","[[(393.0, 983176.0), (397.0, 983176.0), (418.0, 4517968.0)], [(393.0, 316604.0), (132.0, 332893.0), (237.0, 342343.0), (369.0, 365716.0), (127.0, 685315.0), (395.0, 780626.0), (290.0, 1857591.0), (418.0, 1857591.0), (152.0, 2029753.0), (281.0, 2029753.0)]]"
50000,"[(132.0, 102599.0), (290.0, 296942.0), (127.0, 341738.0), (395.0, 428138.0), (21.0, 430818.0), (397.0, 470282.0), (393.0, 485456.0), (369.0, 552645.0), (267.0, 768234.0), (281.0, 1359089.0), (152.0, 1851783.0), (237.0, 3654194.0), (418.0, 17410959.0)]","[[(393.0, 1654064.0), (397.0, 1654064.0), (418.0, 6566549.0)], [(132.0, 457577.0), (237.0, 458322.0), (393.0, 462273.0), (369.0, 469501.0), (127.0, 784308.0), (395.0, 913420.0), (152.0, 2138383.0), (281.0, 2138383.0), (290.0, 2396580.0), (418.0, 2396580.0)]]","[[(393.0, 1196487.0), (397.0, 1196487.0), (418.0, 5674868.0)], [(132.0, 457577.0), (237.0, 458322.0), (393.0, 462273.0), (369.0, 469501.0), (127.0, 784308.0), (395.0, 913420.0), (152.0, 2138383.0), (281.0, 2138383.0), (290.0, 2396580.0), (418.0, 2396580.0)]]"
60000,"[(132.0, 102599.0), (290.0, 296942.0), (127.0, 341738.0), (395.0, 428138.0), (21.0, 430818.0), (397.0, 470282.0), (393.0, 485456.0), (369.0, 552645.0), (267.0, 768234.0), (281.0, 1359089.0), (152.0, 1851783.0), (237.0, 3654194.0), (418.0, 21583975.0)]","[[(393.0, 2043130.0), (397.0, 2043130.0), (418.0, 10045995.0)], [(132.0, 574405.0), (237.0, 586399.0), (393.0, 588754.0), (369.0, 621954.0), (127.0, 908706.0), (395.0, 1029950.0), (152.0, 2288295.0), (281.0, 2288295.0), (290.0, 3027158.0), (418.0, 3027158.0)]]","[[(393.0, 1456731.0), (397.0, 1456731.0), (418.0, 7018837.0)], [(132.0, 574405.0), (237.0, 586399.0), (393.0, 588754.0), (369.0, 621954.0), (127.0, 908706.0), (395.0, 1029950.0), (152.0, 2288295.0), (281.0, 2288295.0), (290.0, 3027158.0), (418.0, 3027158.0)]]"
70000,"[(433.0, 33499.0), (132.0, 102599.0), (476.0, 172107.0), (499.0, 182302.0), (455.0, 209025.0), (290.0, 296942.0), (474.0, 323421.0), (127.0, 341738.0), (478.0, 358964.0), (423.0, 428073.0), (395.0, 428138.0), (21.0, 430818.0), (397.0, 470282.0), (393.0, 485456.0), (369.0, 552645.0), (267.0, 768234.0), (281.0, 1359089.0), (152.0, 1851783.0), (237.0, 3654194.0), (418.0, 23859511.0)]","[[(455.0, 60176.0), (423.0, 211049.0), (474.0, 224526.0), (478.0, 318097.0), (393.0, 2347743.0), (397.0, 2347743.0), (433.0, 2492578.0), (476.0, 2492578.0), (499.0, 2492578.0), (418.0, 11072139.0)], [(132.0, 730401.0), (393.0, 781573.0), (474.0, 781573.0), (237.0, 786795.0), (369.0, 826723.0), (127.0, 1000300.0), (395.0, 1202530.0), (478.0, 1202530.0), (455.0, 1433516.0), (152.0, 2460320.0), (281.0, 2460320.0), (423.0, 2460320.0), (290.0, 3456195.0), (418.0, 3456195.0)]]","[[(455.0, 60176.0), (423.0, 211049.0), (474.0, 224526.0), (478.0, 318097.0), (433.0, 1059062.0), (476.0, 1059062.0), (499.0, 1059062.0), (393.0, 1560948.0), (397.0, 1560948.0), (418.0, 7615944.0)], [(132.0, 730401.0), (393.0, 781573.0), (474.0, 781573.0), (237.0, 786795.0), (369.0, 826723.0), (127.0, 1000300.0), (395.0, 1202530.0), (478.0, 1202530.0), (455.0, 1433516.0), (152.0, 2460320.0), (281.0, 2460320.0), (423.0, 2460320.0), (290.0, 3456195.0), (418.0, 3456195.0)]]"
80000,"[(433.0, 33499.0), (132.0, 102599.0), (476.0, 172107.0), (455.0, 209025.0), (290.0, 296942.0), (127.0, 341738.0), (478.0, 358964.0), (499.0, 423806.0), (423.0, 428073.0), (395.0, 428138.0), (21.0, 430818.0), (474.0, 461916.0), (397.0, 470282.0), (393.0, 485456.0), (369.0, 552645.0), (267.0, 768234.0), (281.0, 1359089.0), (152.0, 1851783.0), (237.0, 3654194.0), (418.0, 23859511.0)]","[[], [(393.0, 919724.0), (474.0, 919724.0), (127.0, 1244944.0), (418.0, 1244944.0), (499.0, 1244944.0)]]","[[], [(393.0, 919724.0), (474.0, 919724.0), (127.0, 1244944.0), (418.0, 1244944.0), (499.0, 1244944.0)]]"
90000,"[(433.0, 33499.0), (132.0, 102599.0), (476.0, 172107.0), (455.0, 209025.0), (290.0, 296942.0), (127.0, 341738.0), (478.0, 358964.0), (499.0, 423806.0), (423.0, 428073.0), (395.0, 428138.0), (21.0, 430818.0), (474.0, 461916.0), (397.0, 470282.0), (393.0, 485456.0), (369.0, 552645.0), (267.0, 768234.0), (281.0, 1359089.0), (152.0, 1851783.0), (237.0, 3654194.0), (418.0, 23859511.0)]","[[], [(127.0, 1244944.0), (418.0, 1244944.0), (499.0, 1244944.0)]]","[[], [(127.0, 1244944.0), (418.0, 1244944.0), (499.0, 1244944.0)]]"
100000,"[(433.0, 33499.0), (132.0, 102599.0), (476.0, 172107.0), (455.0, 209025.0), (290.0, 296942.0), (127.0, 341738.0), (478.0, 358964.0), (499.0, 423806.0), (423.0, 428073.0), (395.0, 428138.0), (21.0, 430818.0), (474.0, 461916.0), (397.0, 470282.0), (393.0, 485456.0), (369.0, 552645.0), (267.0, 768234.0), (281.0, 1359089.0), (152.0, 1851783.0), (237.0, 3654194.0), (418.0, 23859511.0)]","[[], [(127.0, 1244944.0), (418.0, 1244944.0), (499.0, 1244944.0)]]","[[], [(127.0, 1244944.0), (418.0, 1244944.0), (499.0, 1244944.0)]]"
110000,"[(433.0, 33499.0), (132.0, 102599.0), (476.0, 172107.0), (455.0, 209025.0), (290.0, 296942.0), (127.0, 341738.0), (478.0, 358964.0), (499.0, 423806.0), (423.0, 428073.0), (395.0, 428138.0), (21.0, 430818.0), (474.0, 461916.0), (397.0, 470282.0), (393.0, 485456.0), (369.0, 552645.0), (267.0, 768234.0), (281.0, 1359089.0), (152.0, 1851783.0), (237.0, 3654194.0), (418.0, 23859511.0)]","[[], [(127.0, 1244944.0), (418.0, 1244944.0), (499.0, 1244944.0)]]","[[], [(127.0, 1244944.0), (418.0, 1244944.0), (499.0, 1244944.0)]]"
120000,"[(433.0, 33499.0), (132.0, 102599.0), (476.0, 172107.0), (455.0, 209025.0), (290.0, 296942.0), (127.0, 341738.0), (478.0, 358964.0), (499.0, 423806.0), (423.0, 428073.0), (395.0, 428138.0), (21.0, 430818.0), (474.0, 461916.0), (397.0, 470282.0), (393.0, 485456.0), (369.0, 552645.0), (267.0, 768234.0), (281.0, 1359089.0), (152.0, 1851783.0), (237.0, 3654194.0), (418.0, 23859511.0)]","[[], [(127.0, 1244944.0), (418.0, 1244944.0), (499.0, 1244944.0)]]","[[], [(127.0, 1244944.0), (418.0, 1244944.0), (499.0, 1244944.0)]]"
