timer,global,local with mapping,local
10000,"[(128.0, 132235.0), (18.0, 308783.0), (1.0, 395835.0), (234.0, 686106.0), (88.0, 1547048.0), (206.0, 1679548.0), (165.0, 2000837.0), (9.0, 5442938.0)]",
    "[[(234.0, 56289.0), (9.0, 77421.0), (88.0, 209379.0), (206.0, 390840.0), (1.0, 698350.0), (165.0, 903066.0)], 
    [(9.0, 149247.0), (88.0, 195804.0), (165.0, 490000.0), (18.0, 589058.0), (128.0, 589058.0), (206.0, 1060977.0)]]",
    "[[(234.0, 56289.0), (9.0, 77421.0), (88.0, 209379.0), (206.0, 390840.0), (1.0, 698350.0), (165.0, 903066.0)], 
    [(9.0, 149247.0), (88.0, 195804.0), (165.0, 490000.0), (18.0, 589058.0), (128.0, 589058.0), (206.0, 1060977.0)]]"
20000,"[(128.0, 132235.0), (18.0, 308783.0), (1.0, 395835.0), (88.0, 1547048.0), (252.0, 1973441.0), (165.0, 2000837.0), (206.0, 2239329.0), (9.0, 5442938.0), (234.0, 13772337.0)]","[[(206.0, 551203.0), (234.0, 715392.0), (1.0, 1103617.0), (165.0, 1103617.0), (252.0, 1173545.0)], [(234.0, 435093.0), (252.0, 684036.0), (18.0, 718245.0), (128.0, 718245.0), (165.0, 973767.0), (206.0, 1368934.0)]]","[[(206.0, 551203.0), (234.0, 715392.0), (1.0, 1103617.0), (165.0, 1103617.0), (252.0, 1173545.0)], [(234.0, 435093.0), (252.0, 684036.0), (18.0, 718245.0), (128.0, 718245.0), (165.0, 973767.0), (206.0, 1368934.0)]]"
30000,"[(128.0, 132235.0), (18.0, 308783.0), (1.0, 395835.0), (88.0, 1547048.0), (165.0, 2000837.0), (206.0, 2239329.0), (252.0, 3842003.0), (9.0, 5442938.0), (234.0, 27746717.0)]","[[(206.0, 694529.0), (1.0, 1367068.0), (165.0, 1367068.0), (234.0, 1646951.0), (252.0, 2253179.0)], [(18.0, 924282.0), (128.0, 924282.0), (206.0, 924282.0), (165.0, 1291739.0), (234.0, 1358800.0), (252.0, 1794948.0)]]","[[(206.0, 694529.0), (1.0, 1367068.0), (165.0, 1367068.0), (234.0, 1646951.0), (252.0, 2253179.0)], [(18.0, 924282.0), (128.0, 924282.0), (206.0, 924282.0), (165.0, 1291739.0), (234.0, 1358800.0), (252.0, 1794948.0)]]"
40000,"[(264.0, 48566.0), (348.0, 86970.0), (128.0, 132235.0), (357.0, 176161.0), (333.0, 209051.0), (18.0, 308783.0), (288.0, 327224.0), (1.0, 395835.0), (88.0, 1547048.0), (337.0, 1623308.0), (165.0, 2000837.0), (206.0, 2239329.0), (252.0, 4896243.0), (286.0, 5233669.0), (9.0, 5442938.0), (234.0, 33911078.0)]","[[(333.0, 94314.0), (264.0, 141408.0), (348.0, 190636.0), (288.0, 436477.0), (357.0, 436477.0), (206.0, 716259.0), (286.0, 1100385.0), (1.0, 1578919.0), (165.0, 1578919.0), (337.0, 1728362.0), (234.0, 2258396.0), (252.0, 3367641.0)], [(18.0, 1235556.0), (128.0, 1235556.0), (206.0, 1235556.0), (165.0, 1417441.0), (234.0, 2233412.0), (252.0, 2521135.0), (286.0, 4282922.0)]]","[[(333.0, 94314.0), (264.0, 141408.0), (348.0, 190636.0), (288.0, 436477.0), (357.0, 436477.0), (206.0, 716259.0), (286.0, 1100385.0), (1.0, 1578919.0), (165.0, 1578919.0), (337.0, 1728362.0), (234.0, 2258396.0), (252.0, 3367641.0)], [(18.0, 1235556.0), (128.0, 1235556.0), (206.0, 1235556.0), (165.0, 1417441.0), (234.0, 2233412.0), (252.0, 2521135.0), (286.0, 4282922.0)]]"
50000,"[(353.0, 8459.0), (370.0, 38165.0), (264.0, 48566.0), (128.0, 132235.0), (365.0, 133770.0), (389.0, 253727.0), (392.0, 279017.0), (18.0, 308783.0), (357.0, 312186.0), (288.0, 327224.0), (333.0, 332479.0), (1.0, 395835.0), (318.0, 645332.0), (494.0, 798504.0), (348.0, 826160.0), (88.0, 1547048.0), (362.0, 1586795.0), (360.0, 1922755.0), (165.0, 2000837.0), (206.0, 2239329.0), (424.0, 2659407.0), (252.0, 4896243.0), (337.0, 5145323.0), (286.0, 5244058.0), (9.0, 5442938.0), (234.0, 33911078.0)]","[[(365.0, 573070.0), (333.0, 592392.0), (264.0, 661601.0), (360.0, 661601.0), (389.0, 661601.0), (424.0, 776537.0), (288.0, 889613.0), (357.0, 889613.0), (348.0, 959242.0), (286.0, 1633574.0), (1.0, 1657397.0), (165.0, 1657397.0), (234.0, 1657397.0), (252.0, 1657397.0), (370.0, 1657397.0), (337.0, 1938516.0), (392.0, 1938516.0), (494.0, 1938516.0), (362.0, 2075935.0)], [(353.0, 31869.0), (333.0, 34098.0), (357.0, 125110.0), (348.0, 489353.0), (318.0, 707168.0), (360.0, 1724617.0), (337.0, 3668645.0), (286.0, 4312007.0)]]","[[(365.0, 573070.0), (333.0, 592392.0), (264.0, 661601.0), (360.0, 661601.0), (389.0, 661601.0), (424.0, 776537.0), (288.0, 889613.0), (357.0, 889613.0), (348.0, 959242.0), (286.0, 1633574.0), (1.0, 1657397.0), (165.0, 1657397.0), (234.0, 1657397.0), (252.0, 1657397.0), (370.0, 1657397.0), (337.0, 1938516.0), (392.0, 1938516.0), (494.0, 1938516.0), (362.0, 2075935.0)], [(353.0, 31869.0), (333.0, 34098.0), (357.0, 125110.0), (348.0, 489353.0), (318.0, 707168.0), (360.0, 1724617.0), (337.0, 3668645.0), (286.0, 4312007.0)]]"
60000,"[(353.0, 8459.0), (264.0, 48566.0), (370.0, 77494.0), (427.0, 129341.0), (128.0, 132235.0), (18.0, 308783.0), (357.0, 312186.0), (288.0, 327224.0), (333.0, 332479.0), (1.0, 395835.0), (365.0, 416200.0), (389.0, 507358.0), (392.0, 569084.0), (318.0, 645332.0), (348.0, 826160.0), (88.0, 1547048.0), (165.0, 2000837.0), (206.0, 2239329.0), (360.0, 2689911.0), (362.0, 3142198.0), (252.0, 4896243.0), (337.0, 5145323.0), (286.0, 5244058.0), (9.0, 5442938.0), (424.0, 5776354.0), (494.0, 6154671.0), (234.0, 33911078.0)]","[[(365.0, 1067204.0), (333.0, 1200418.0), (264.0, 1211477.0), (360.0, 1211477.0), (389.0, 1211477.0), (424.0, 1467598.0), (288.0, 1502846.0), (357.0, 1502846.0), (348.0, 1555740.0), (370.0, 1742509.0), (494.0, 1742509.0), (286.0, 2172588.0), (337.0, 2462489.0), (392.0, 2462489.0), (362.0, 2828543.0)], [(353.0, 468115.0), (370.0, 468115.0), (365.0, 612370.0), (424.0, 645147.0), (427.0, 758763.0), (333.0, 788756.0), (392.0, 788756.0), (348.0, 1100654.0), (357.0, 1100654.0), (389.0, 1100654.0), (318.0, 1203623.0), (362.0, 2102751.0), (360.0, 2713468.0)]]","[[(494.0, 953753.0), (365.0, 1067204.0), (333.0, 1200418.0), (264.0, 1211477.0), (360.0, 1211477.0), (389.0, 1211477.0), (424.0, 1467598.0), (288.0, 1502846.0), (357.0, 1502846.0), (370.0, 1502846.0), (348.0, 1555740.0), (286.0, 2172588.0), (337.0, 2462489.0), (392.0, 2462489.0), (362.0, 2828543.0)], [(353.0, 468115.0), (370.0, 468115.0), (365.0, 612370.0), (424.0, 645147.0), (427.0, 758763.0), (333.0, 788756.0), (392.0, 788756.0), (348.0, 1100654.0), (357.0, 1100654.0), (389.0, 1100654.0), (318.0, 1203623.0), (362.0, 2102751.0), (360.0, 2713468.0)]]"
70000,"[(353.0, 8459.0), (264.0, 48566.0), (370.0, 77494.0), (427.0, 129341.0), (128.0, 132235.0), (18.0, 308783.0), (357.0, 312186.0), (288.0, 327224.0), (333.0, 332479.0), (478.0, 358964.0), (1.0, 395835.0), (365.0, 416200.0), (389.0, 507358.0), (392.0, 569084.0), (318.0, 645332.0), (348.0, 826160.0), (88.0, 1547048.0), (165.0, 2000837.0), (206.0, 2239329.0), (360.0, 2689911.0), (362.0, 3142198.0), (252.0, 4896243.0), (337.0, 5145323.0), (286.0, 5244058.0), (9.0, 5442938.0), (424.0, 6139408.0), (494.0, 16075483.0), (234.0, 33911078.0)]","[[(365.0, 1622221.0), (264.0, 1758427.0), (360.0, 1758427.0), (389.0, 1758427.0), (333.0, 1808764.0), (424.0, 1952463.0), (288.0, 2150331.0), (357.0, 2150331.0), (348.0, 2232746.0), (286.0, 2865168.0), (370.0, 2994193.0), (494.0, 2994193.0), (337.0, 3062105.0), (392.0, 3062105.0), (362.0, 3322699.0)], [(365.0, 924660.0), (353.0, 939046.0), (370.0, 939046.0), (424.0, 1213780.0), (333.0, 1295628.0), (392.0, 1295628.0), (427.0, 1351077.0), (348.0, 1621569.0), (357.0, 1621569.0), (389.0, 1621569.0), (318.0, 1728570.0), (494.0, 1728570.0), (362.0, 2867972.0), (478.0, 2867972.0), (360.0, 3339362.0)]]","[[(365.0, 1622221.0), (494.0, 1698565.0), (264.0, 1758427.0), (360.0, 1758427.0), (389.0, 1758427.0), (333.0, 1808764.0), (424.0, 1952463.0), (288.0, 2150331.0), (357.0, 2150331.0), (370.0, 2150331.0), (348.0, 2232746.0), (286.0, 2865168.0), (337.0, 3062105.0), (392.0, 3062105.0), (362.0, 3322699.0)], [(365.0, 924660.0), (353.0, 939046.0), (370.0, 939046.0), (424.0, 1213780.0), (333.0, 1295628.0), (392.0, 1295628.0), (427.0, 1351077.0), (348.0, 1621569.0), (357.0, 1621569.0), (389.0, 1621569.0), (318.0, 1728570.0), (494.0, 1728570.0), (362.0, 2867972.0), (478.0, 2867972.0), (360.0, 3339362.0)]]"
80000,"[(353.0, 8459.0), (264.0, 48566.0), (370.0, 77494.0), (427.0, 129341.0), (128.0, 132235.0), (506.0, 262789.0), (18.0, 308783.0), (357.0, 312186.0), (288.0, 327224.0), (333.0, 332479.0), (478.0, 358964.0), (1.0, 395835.0), (365.0, 416200.0), (389.0, 507358.0), (392.0, 569084.0), (318.0, 645332.0), (348.0, 826160.0), (88.0, 1547048.0), (165.0, 2000837.0), (206.0, 2239329.0), (360.0, 2689911.0), (362.0, 3142198.0), (252.0, 4896243.0), (337.0, 5145323.0), (286.0, 5244058.0), (9.0, 5442938.0), (424.0, 6139408.0), (494.0, 26158097.0), (234.0, 33911078.0)]","[[(333.0, 2404811.0), (264.0, 2405248.0), (360.0, 2405248.0), (389.0, 2405248.0), (365.0, 2456547.0), (424.0, 2666036.0), (348.0, 2792145.0), (288.0, 2832024.0), (357.0, 2832024.0), (286.0, 3468227.0), (337.0, 3754893.0), (392.0, 3754893.0), (362.0, 4066674.0), (370.0, 4262829.0), (494.0, 4262829.0)], [(365.0, 1460787.0), (353.0, 1540976.0), (370.0, 1540976.0), (424.0, 1668799.0), (494.0, 1713289.0), (333.0, 1825288.0), (392.0, 1825288.0), (427.0, 1862480.0), (348.0, 2259378.0), (357.0, 2259378.0), (389.0, 2259378.0), (318.0, 2524108.0), (506.0, 2524108.0), (362.0, 3420428.0), (478.0, 3420428.0), (360.0, 3815804.0)]]","[[(333.0, 2404811.0), (264.0, 2405248.0), (360.0, 2405248.0), (389.0, 2405248.0), (494.0, 2437541.0), (365.0, 2456547.0), (424.0, 2666036.0), (348.0, 2792145.0), (288.0, 2832024.0), (357.0, 2832024.0), (370.0, 2832024.0), (286.0, 3468227.0), (337.0, 3754893.0), (392.0, 3754893.0), (362.0, 4066674.0)], [(365.0, 1460787.0), (353.0, 1540976.0), (370.0, 1540976.0), (424.0, 1668799.0), (494.0, 1713289.0), (333.0, 1825288.0), (392.0, 1825288.0), (427.0, 1862480.0), (348.0, 2259378.0), (357.0, 2259378.0), (389.0, 2259378.0), (318.0, 2524108.0), (506.0, 2524108.0), (362.0, 3420428.0), (478.0, 3420428.0), (360.0, 3815804.0)]]"
