timer,cid,global,local with mapping,local
10000,"[(21.0, 430818.0), (45.0, 578992.0), (70.0, 812385.0), (63.0, 1198798.0), (35.0, 1293584.0), (65.0, 1452193.0), (67.0, 1860015.0), (61.0, 1888646.0)]","[[(45.0, 291399.0), (21.0, 464696.0), (35.0, 464696.0), (63.0, 615611.0), (65.0, 761058.0), (61.0, 1203795.0), (67.0, 1275047.0)], [(45.0, 287593.0), (67.0, 580796.0), (63.0, 582123.0), (65.0, 688727.0), (35.0, 1259706.0), (61.0, 1493990.0), (70.0, 1493990.0)]]","[[(45.0, 291399.0), (21.0, 464696.0), (35.0, 464696.0), (63.0, 615611.0), (65.0, 761058.0), (61.0, 1203795.0), (67.0, 1275047.0)], [(45.0, 287593.0), (67.0, 580796.0), (63.0, 582123.0), (65.0, 688727.0), (35.0, 1259706.0), (61.0, 1493990.0), (70.0, 1493990.0)]]"
20000,"[(21.0, 430818.0), (45.0, 578992.0), (35.0, 1293584.0), (71.0, 2036269.0), (70.0, 2152643.0), (63.0, 2394371.0), (65.0, 2672994.0), (61.0, 3530007.0), (67.0, 3994365.0)]","[[(65.0, 1272803.0), (67.0, 2216315.0), (70.0, 2216315.0), (61.0, 2526846.0), (63.0, 4051442.0), (71.0, 4051442.0)], [(65.0, 1400191.0), (67.0, 2046117.0), (61.0, 2922821.0), (70.0, 2922821.0), (63.0, 4051442.0), (71.0, 4051442.0)]]","[[(65.0, 1272803.0), (67.0, 2216315.0), (70.0, 2216315.0), (63.0, 2249896.0), (71.0, 2249896.0), (61.0, 2526846.0)], [(65.0, 1400191.0), (63.0, 1801546.0), (71.0, 1801546.0), (67.0, 2046117.0), (61.0, 2922821.0), (70.0, 2922821.0)]]"
30000,"[(161.0, 84723.0), (137.0, 294998.0), (21.0, 430818.0), (158.0, 442082.0), (120.0, 503478.0), (156.0, 523635.0), (45.0, 578992.0), (35.0, 1293584.0), (70.0, 2152643.0), (63.0, 2394371.0), (65.0, 2672994.0), (71.0, 3023594.0), (119.0, 3248744.0), (61.0, 3530007.0), (67.0, 3994365.0)]","[[(161.0, 53836.0), (120.0, 246866.0), (119.0, 1794995.0), (61.0, 2539308.0), (63.0, 5257617.0), (71.0, 5257617.0)], [(161.0, 30887.0), (120.0, 231929.0), (137.0, 294998.0), (119.0, 1456485.0), (67.0, 2098413.0), (61.0, 2946690.0), (70.0, 2946690.0), (63.0, 5257617.0), (71.0, 5257617.0)]]","[[(161.0, 53836.0), (120.0, 246866.0), (119.0, 1794995.0), (61.0, 2539308.0), (63.0, 2968253.0), (71.0, 2968253.0)], [(161.0, 30887.0), (120.0, 231929.0), (137.0, 294998.0), (119.0, 1456485.0), (67.0, 2098413.0), (63.0, 2289364.0), (71.0, 2289364.0), (61.0, 2946690.0), (70.0, 2946690.0)]]"
40000,"[(206.0, 30873.0), (184.0, 84220.0), (137.0, 294998.0), (161.0, 362780.0), (21.0, 430818.0), (120.0, 503478.0), (191.0, 575525.0), (45.0, 578992.0), (35.0, 1293584.0), (193.0, 1981385.0), (70.0, 2152643.0), (63.0, 2394371.0), (65.0, 2672994.0), (71.0, 3023594.0), (119.0, 3248744.0), (61.0, 3530007.0), (67.0, 3994365.0), (158.0, 4243128.0), (156.0, 4943687.0)]","[[(156.0, 14473.0), (206.0, 26554.0), (191.0, 216005.0), (120.0, 470863.0), (193.0, 635824.0)], [(156.0, 89885.0), (184.0, 89885.0), (158.0, 154798.0), (191.0, 154798.0), (161.0, 310114.0), (193.0, 1237302.0)]]","[[(156.0, 14473.0), (206.0, 26554.0), (191.0, 216005.0), (120.0, 470863.0), (193.0, 635824.0)], [(156.0, 89885.0), (184.0, 89885.0), (158.0, 154798.0), (191.0, 154798.0), (161.0, 310114.0), (193.0, 1237302.0)]]"
50000,"[(264.0, 48566.0), (184.0, 84220.0), (238.0, 85408.0), (266.0, 175808.0), (269.0, 202971.0), (224.0, 289901.0), (137.0, 294998.0), (161.0, 362780.0), (212.0, 397014.0), (21.0, 430818.0), (120.0, 503478.0), (45.0, 578992.0), (191.0, 603113.0), (280.0, 604309.0), (240.0, 698539.0), (35.0, 1293584.0), (230.0, 1850155.0), (193.0, 2070171.0), (70.0, 2152643.0), (228.0, 2236368.0), (206.0, 2239329.0), (63.0, 2394371.0), (65.0, 2672994.0), (71.0, 3023594.0), (119.0, 3248744.0), (61.0, 3530007.0), (67.0, 3994365.0), (158.0, 4243128.0), (156.0, 4943687.0)]","[[(264.0, 75403.0), (224.0, 117290.0), (238.0, 117290.0), (266.0, 167435.0), (191.0, 311503.0), (269.0, 311503.0), (120.0, 495304.0), (228.0, 682516.0), (240.0, 700885.0), (230.0, 790810.0), (206.0, 1443756.0)], [(156.0, 245687.0), (184.0, 245687.0), (158.0, 369977.0), (191.0, 369977.0), (224.0, 369977.0), (269.0, 369977.0), (212.0, 512000.0), (228.0, 589254.0), (280.0, 604309.0), (230.0, 920468.0), (206.0, 1088721.0), (193.0, 1328810.0)]]","[[(264.0, 75403.0), (224.0, 117290.0), (238.0, 117290.0), (266.0, 167435.0), (191.0, 311503.0), (269.0, 311503.0), (120.0, 495304.0), (228.0, 682516.0), (240.0, 700885.0), (230.0, 790810.0), (206.0, 1443756.0)], [(156.0, 245687.0), (184.0, 245687.0), (158.0, 369977.0), (191.0, 369977.0), (224.0, 369977.0), (269.0, 369977.0), (212.0, 512000.0), (228.0, 589254.0), (280.0, 604309.0), (230.0, 920468.0), (206.0, 1088721.0), (193.0, 1328810.0)]]"
60000,"[(264.0, 48566.0), (184.0, 84220.0), (238.0, 85408.0), (224.0, 289901.0), (137.0, 294998.0), (161.0, 362780.0), (269.0, 370652.0), (212.0, 397014.0), (21.0, 430818.0), (120.0, 503478.0), (266.0, 548006.0), (45.0, 578992.0), (191.0, 603113.0), (280.0, 604309.0), (240.0, 698539.0), (310.0, 934806.0), (35.0, 1293584.0), (230.0, 1850155.0), (193.0, 2070171.0), (70.0, 2152643.0), (228.0, 2236368.0), (206.0, 2239329.0), (63.0, 2394371.0), (65.0, 2672994.0), (71.0, 3023594.0), (119.0, 3248744.0), (61.0, 3530007.0), (67.0, 3994365.0), (158.0, 4243128.0), (156.0, 4943687.0), (307.0, 13189035.0)]","[[(120.0, 707242.0), (191.0, 800261.0), (269.0, 800261.0), (264.0, 893522.0), (228.0, 937106.0), (230.0, 937106.0), (310.0, 1061027.0), (307.0, 1172409.0), (266.0, 1264282.0), (224.0, 1329051.0), (238.0, 1329051.0), (240.0, 1415927.0), (206.0, 1968828.0)], [(158.0, 667872.0), (191.0, 667872.0), (224.0, 667872.0), (269.0, 667872.0), (156.0, 780604.0), (184.0, 780604.0), (212.0, 1101105.0), (228.0, 1101105.0), (307.0, 1161297.0), (230.0, 1246425.0), (280.0, 1482493.0), (310.0, 1482493.0), (206.0, 1772925.0)]]","[[(120.0, 707242.0), (191.0, 800261.0), (269.0, 800261.0), (264.0, 893522.0), (228.0, 937106.0), (230.0, 937106.0), (310.0, 1061027.0), (307.0, 1172409.0), (266.0, 1264282.0), (224.0, 1329051.0), (238.0, 1329051.0), (240.0, 1415927.0), (206.0, 1968828.0)], [(158.0, 667872.0), (191.0, 667872.0), (224.0, 667872.0), (269.0, 667872.0), (156.0, 780604.0), (184.0, 780604.0), (212.0, 1101105.0), (228.0, 1101105.0), (307.0, 1161297.0), (230.0, 1246425.0), (280.0, 1482493.0), (310.0, 1482493.0), (206.0, 1772925.0)]]"
70000,"[(264.0, 48566.0), (184.0, 84220.0), (238.0, 85408.0), (224.0, 289901.0), (137.0, 294998.0), (348.0, 324732.0), (161.0, 362780.0), (269.0, 370652.0), (212.0, 397014.0), (21.0, 430818.0), (120.0, 503478.0), (266.0, 548006.0), (45.0, 578992.0), (191.0, 603113.0), (280.0, 604309.0), (240.0, 698539.0), (35.0, 1293584.0), (230.0, 1850155.0), (310.0, 1931623.0), (193.0, 2070171.0), (70.0, 2152643.0), (228.0, 2236368.0), (206.0, 2239329.0), (63.0, 2394371.0), (65.0, 2672994.0), (71.0, 3023594.0), (119.0, 3248744.0), (61.0, 3530007.0), (67.0, 3994365.0), (158.0, 4243128.0), (156.0, 4943687.0), (307.0, 28240883.0)]","[[(120.0, 1365898.0), (191.0, 1717112.0), (269.0, 1717112.0), (224.0, 1795329.0), (238.0, 1795329.0), (310.0, 1897155.0), (228.0, 1921566.0), (230.0, 1921566.0), (264.0, 1923129.0), (348.0, 1923129.0), (307.0, 2191739.0), (240.0, 2454274.0), (266.0, 2458911.0), (206.0, 2681814.0)], [(158.0, 1649674.0), (191.0, 1649674.0), (224.0, 1649674.0), (269.0, 1649674.0), (156.0, 1740407.0), (184.0, 1740407.0), (230.0, 1966577.0), (212.0, 2066266.0), (228.0, 2066266.0), (307.0, 2188245.0), (280.0, 2488986.0), (310.0, 2488986.0), (206.0, 2732004.0)]]","[[(120.0, 1365898.0), (191.0, 1717112.0), (269.0, 1717112.0), (224.0, 1795329.0), (238.0, 1795329.0), (310.0, 1897155.0), (228.0, 1921566.0), (230.0, 1921566.0), (264.0, 1923129.0), (348.0, 1923129.0), (307.0, 2191739.0), (240.0, 2454274.0), (266.0, 2458911.0), (206.0, 2681814.0)], [(158.0, 1649674.0), (191.0, 1649674.0), (224.0, 1649674.0), (269.0, 1649674.0), (156.0, 1740407.0), (184.0, 1740407.0), (230.0, 1966577.0), (212.0, 2066266.0), (228.0, 2066266.0), (307.0, 2188245.0), (280.0, 2488986.0), (310.0, 2488986.0), (206.0, 2732004.0)]]"
80000,"[(264.0, 48566.0), (184.0, 84220.0), (238.0, 85408.0), (427.0, 129341.0), (224.0, 289901.0), (137.0, 294998.0), (451.0, 305513.0), (368.0, 325621.0), (161.0, 362780.0), (269.0, 370652.0), (212.0, 397014.0), (359.0, 425723.0), (21.0, 430818.0), (120.0, 503478.0), (266.0, 548006.0), (45.0, 578992.0), (191.0, 603113.0), (280.0, 604309.0), (240.0, 698539.0), (348.0, 826160.0), (524.0, 930331.0), (35.0, 1293584.0), (471.0, 1638178.0), (230.0, 1850155.0), (310.0, 1931623.0), (193.0, 2070171.0), (70.0, 2152643.0), (228.0, 2236368.0), (206.0, 2239329.0), (63.0, 2394371.0), (520.0, 2467695.0), (65.0, 2672994.0), (71.0, 3023594.0), (362.0, 3142198.0), (119.0, 3248744.0), (61.0, 3530007.0), (67.0, 3994365.0), (158.0, 4243128.0), (156.0, 4943687.0), (307.0, 29045301.0)]","[[(120.0, 1513294.0), (427.0, 1513294.0), (451.0, 1513294.0), (191.0, 1595420.0), (269.0, 1595420.0), (471.0, 1595420.0), (224.0, 1830689.0), (238.0, 1830689.0), (228.0, 2013233.0), (230.0, 2013233.0), (310.0, 2288501.0), (264.0, 2542305.0), (348.0, 2542305.0), (520.0, 2542305.0), (307.0, 2569753.0), (362.0, 2569753.0), (206.0, 2686522.0), (240.0, 2697044.0), (266.0, 3588557.0), (524.0, 3588557.0)], [(156.0, 2245736.0), (184.0, 2245736.0), (471.0, 2245736.0), (158.0, 2371872.0), (191.0, 2371872.0), (224.0, 2371872.0), (269.0, 2371872.0), (362.0, 2371872.0), (520.0, 2371872.0), (230.0, 2377389.0), (307.0, 2725544.0), (212.0, 2751873.0), (228.0, 2751873.0), (359.0, 2751873.0), (451.0, 2751873.0), (280.0, 2920374.0), (310.0, 2920374.0), (206.0, 3501790.0), (368.0, 3501790.0)]]","[[(120.0, 1513294.0), (427.0, 1513294.0), (451.0, 1513294.0), (191.0, 1595420.0), (269.0, 1595420.0), (471.0, 1595420.0), (224.0, 1830689.0), (238.0, 1830689.0), (228.0, 2013233.0), (230.0, 2013233.0), (310.0, 2288501.0), (264.0, 2542305.0), (348.0, 2542305.0), (520.0, 2542305.0), (307.0, 2569753.0), (362.0, 2569753.0), (206.0, 2686522.0), (240.0, 2697044.0), (266.0, 3588557.0), (524.0, 3588557.0)], [(156.0, 2245736.0), (184.0, 2245736.0), (471.0, 2245736.0), (158.0, 2371872.0), (191.0, 2371872.0), (224.0, 2371872.0), (269.0, 2371872.0), (362.0, 2371872.0), (520.0, 2371872.0), (230.0, 2377389.0), (307.0, 2725544.0), (212.0, 2751873.0), (228.0, 2751873.0), (359.0, 2751873.0), (451.0, 2751873.0), (280.0, 2920374.0), (310.0, 2920374.0), (206.0, 3501790.0), (368.0, 3501790.0)]]"
90000,"[(264.0, 48566.0), (184.0, 84220.0), (238.0, 85408.0), (427.0, 129341.0), (224.0, 289901.0), (137.0, 294998.0), (451.0, 305513.0), (368.0, 325621.0), (161.0, 362780.0), (269.0, 370652.0), (212.0, 397014.0), (359.0, 425723.0), (21.0, 430818.0), (120.0, 503478.0), (266.0, 548006.0), (45.0, 578992.0), (191.0, 603113.0), (280.0, 604309.0), (240.0, 698539.0), (348.0, 826160.0), (524.0, 930331.0), (35.0, 1293584.0), (471.0, 1638178.0), (230.0, 1850155.0), (310.0, 1931623.0), (193.0, 2070171.0), (70.0, 2152643.0), (228.0, 2236368.0), (206.0, 2239329.0), (63.0, 2394371.0), (65.0, 2672994.0), (71.0, 3023594.0), (362.0, 3142198.0), (119.0, 3248744.0), (520.0, 3451961.0), (61.0, 3530007.0), (67.0, 3994365.0), (158.0, 4243128.0), (156.0, 4943687.0), (307.0, 29045301.0)]","[[], [(307.0, 2705856.0), (310.0, 2705856.0), (362.0, 2705856.0), (212.0, 2950553.0), (224.0, 2950553.0), (228.0, 2950553.0), (359.0, 2950553.0), (451.0, 2950553.0), (520.0, 2950553.0)]]","[[], [(307.0, 2705856.0), (310.0, 2705856.0), (362.0, 2705856.0), (212.0, 2950553.0), (224.0, 2950553.0), (228.0, 2950553.0), (359.0, 2950553.0), (451.0, 2950553.0), (520.0, 2950553.0)]]"
100000,"[(264.0, 48566.0), (184.0, 84220.0), (238.0, 85408.0), (427.0, 129341.0), (224.0, 289901.0), (137.0, 294998.0), (451.0, 305513.0), (368.0, 325621.0), (161.0, 362780.0), (269.0, 370652.0), (212.0, 397014.0), (359.0, 425723.0), (21.0, 430818.0), (120.0, 503478.0), (266.0, 548006.0), (45.0, 578992.0), (191.0, 603113.0), (280.0, 604309.0), (240.0, 698539.0), (348.0, 826160.0), (524.0, 930331.0), (35.0, 1293584.0), (471.0, 1638178.0), (230.0, 1850155.0), (310.0, 1931623.0), (193.0, 2070171.0), (70.0, 2152643.0), (228.0, 2236368.0), (206.0, 2239329.0), (63.0, 2394371.0), (65.0, 2672994.0), (71.0, 3023594.0), (362.0, 3142198.0), (119.0, 3248744.0), (520.0, 3451961.0), (61.0, 3530007.0), (67.0, 3994365.0), (158.0, 4243128.0), (156.0, 4943687.0), (307.0, 29045301.0)]","[[], [(224.0, 2705856.0), (228.0, 2705856.0), (307.0, 2705856.0), (310.0, 2705856.0), (362.0, 2705856.0), (451.0, 2705856.0), (520.0, 2705856.0)]]","[[], [(224.0, 2705856.0), (228.0, 2705856.0), (307.0, 2705856.0), (310.0, 2705856.0), (362.0, 2705856.0), (451.0, 2705856.0), (520.0, 2705856.0)]]"
