50.0,28.0,29.0,68.0,121.0,133.0,148.0,156.0,169.0,182.0,230.0,246.0,313.0,319.0,369.0,400.0,463.0
Time,Coflow id,Major Accuracy,Major Groundtruth,Minor Accuracy,Minor Groundtruth
182,50.0,1.0,{50.0: 1},1.0,{50.0: 3}
225,50.0,1.0,{50.0: 2},1.0,{50.0: 4}
226,50.0,1.0,{50.0: 3},1.0,{50.0: 5}
239,50.0,1.0,{50.0: 4},1.0,{50.0: 6}
240,50.0,1.0,{50.0: 5},1.0,{50.0: 6}
241,50.0,1.0,{50.0: 6},1.0,{50.0: 6}
478,50.0,1.0,{50.0: 7},1.0,{50.0: 6}
479,50.0,1.0,{50.0: 8},1.0,{50.0: 6}
515,50.0,1.0,{50.0: 9},1.0,{50.0: 8}
516,50.0,1.0,{50.0: 10},1.0,{50.0: 8}
517,50.0,1.0,{50.0: 11},1.0,{50.0: 8}
518,50.0,1.0,{50.0: 12},1.0,{50.0: 8}
540,50.0,1.0,{50.0: 13},1.0,{50.0: 8}
794,50.0,1.0,{50.0: 14},1.0,{50.0: 15}
795,50.0,1.0,{50.0: 15},1.0,{50.0: 15}
796,50.0,1.0,{50.0: 16},1.0,{50.0: 15}
1324,50.0,1.0,{50.0: 17},1.0,"{50.0: 25, 29.0: 0}"
1325,50.0,1.0,{50.0: 18},1.0,"{50.0: 25, 29.0: 0}"
1396,50.0,1.0,{50.0: 19},1.0,"{50.0: 25, 29.0: 0}"
1418,50.0,1.0,{50.0: 20},1.0,"{50.0: 25, 29.0: 0}"
1419,50.0,1.0,{50.0: 21},1.0,"{50.0: 25, 29.0: 0}"
1434,50.0,1.0,{50.0: 22},1.0,"{50.0: 25, 29.0: 0}"
1435,50.0,1.0,{50.0: 23},1.0,"{50.0: 25, 29.0: 0}"
1477,28.0,1.0,"{50.0: 0, 28.0: 1}",0,"{50.0: 0, 29.0: 0}"
2066,29.0,1.0,"{50.0: 0, 28.0: 0, 29.0: 1}",1.0,"{50.0: 0, 29.0: 3}"
2778,29.0,1.0,"{50.0: 0, 28.0: 0, 29.0: 2}",1.0,"{50.0: 0, 29.0: 4}"
3615,68.0,1.0,"{50.0: 0, 28.0: 0, 29.0: 0, 68.0: 1}",0,"{50.0: 0, 29.0: 0}"
3806,68.0,1.0,"{50.0: 0, 28.0: 0, 29.0: 0, 68.0: 2}",0,"{50.0: 0, 29.0: 0}"
3807,68.0,1.0,"{50.0: 0, 28.0: 0, 29.0: 0, 68.0: 3}",0,"{50.0: 0, 29.0: 0}"
3808,68.0,1.0,"{50.0: 0, 28.0: 0, 29.0: 0, 68.0: 4}",0,"{50.0: 0, 29.0: 0}"
4130,68.0,1.0,"{50.0: 0, 28.0: 0, 29.0: 0, 68.0: 5}",0,"{50.0: 0, 29.0: 0}"
4131,68.0,1.0,"{50.0: 0, 28.0: 0, 29.0: 0, 68.0: 6}",0,"{50.0: 0, 29.0: 0}"
4132,68.0,1.0,"{50.0: 0, 28.0: 0, 29.0: 0, 68.0: 7}",0,"{50.0: 0, 29.0: 0}"
4133,68.0,1.0,"{50.0: 0, 28.0: 0, 29.0: 0, 68.0: 8}",0,"{50.0: 0, 29.0: 0}"
4188,68.0,1.0,"{50.0: 0, 28.0: 0, 29.0: 0, 68.0: 9}",0,"{50.0: 0, 29.0: 0}"
4189,68.0,1.0,"{50.0: 0, 28.0: 0, 29.0: 0, 68.0: 10}",0,"{50.0: 0, 29.0: 0}"
4190,68.0,1.0,"{50.0: 0, 28.0: 0, 29.0: 0, 68.0: 11}",0,"{50.0: 0, 29.0: 0}"
4191,68.0,1.0,"{50.0: 0, 28.0: 0, 29.0: 0, 68.0: 12}",0,"{50.0: 0, 29.0: 0}"
4192,68.0,1.0,"{50.0: 0, 28.0: 0, 29.0: 0, 68.0: 13}",0,"{50.0: 0, 29.0: 0}"
4193,68.0,1.0,"{50.0: 0, 28.0: 0, 29.0: 0, 68.0: 14}",0,"{50.0: 0, 29.0: 0}"
4230,68.0,1.0,"{50.0: 0, 28.0: 0, 29.0: 0, 68.0: 15}",0,"{50.0: 0, 29.0: 0}"
4231,68.0,1.0,"{50.0: 0, 28.0: 0, 29.0: 0, 68.0: 16}",0,"{50.0: 0, 29.0: 0}"
4232,68.0,1.0,"{50.0: 0, 28.0: 0, 29.0: 0, 68.0: 17}",0,"{50.0: 0, 29.0: 0}"
4269,68.0,1.0,"{50.0: 0, 28.0: 0, 29.0: 0, 68.0: 18}",0,"{50.0: 0, 29.0: 0}"
4270,68.0,1.0,"{50.0: 0, 28.0: 0, 29.0: 0, 68.0: 19}",0,"{50.0: 0, 29.0: 0}"
4271,68.0,1.0,"{50.0: 0, 28.0: 0, 29.0: 0, 68.0: 20}",0,"{50.0: 0, 29.0: 0}"
4272,68.0,1.0,"{50.0: 0, 28.0: 0, 29.0: 0, 68.0: 21}",0,"{50.0: 0, 29.0: 0}"
4273,68.0,1.0,"{50.0: 0, 28.0: 0, 29.0: 0, 68.0: 22}",0,"{50.0: 0, 29.0: 0}"
4469,68.0,1.0,"{50.0: 0, 28.0: 0, 29.0: 0, 68.0: 23}",1.0,"{50.0: 0, 29.0: 0, 68.0: 1}"
4470,68.0,1.0,"{50.0: 0, 28.0: 0, 29.0: 0, 68.0: 24}",1.0,"{50.0: 0, 29.0: 0, 68.0: 1}"
4471,68.0,1.0,"{50.0: 0, 28.0: 0, 29.0: 0, 68.0: 25}",1.0,"{50.0: 0, 29.0: 0, 68.0: 1}"
4526,68.0,1.0,"{50.0: 0, 28.0: 0, 29.0: 0, 68.0: 26}",1.0,"{50.0: 0, 29.0: 0, 68.0: 2}"
4527,68.0,1.0,"{50.0: 0, 28.0: 0, 29.0: 0, 68.0: 27}",1.0,"{50.0: 0, 29.0: 0, 68.0: 2}"
4555,68.0,1.0,"{50.0: 0, 28.0: 0, 29.0: 0, 68.0: 28}",1.0,"{50.0: 0, 29.0: 0, 68.0: 2}"
4556,68.0,1.0,"{50.0: 0, 28.0: 0, 29.0: 0, 68.0: 29}",1.0,"{50.0: 0, 29.0: 0, 68.0: 2}"
4557,68.0,1.0,"{50.0: 0, 28.0: 0, 29.0: 0, 68.0: 30}",1.0,"{50.0: 0, 29.0: 0, 68.0: 2}"
4558,68.0,1.0,"{50.0: 0, 28.0: 0, 29.0: 0, 68.0: 31}",1.0,"{50.0: 0, 29.0: 0, 68.0: 2}"
4703,68.0,1.0,"{50.0: 0, 28.0: 0, 29.0: 0, 68.0: 32}",1.0,"{50.0: 0, 29.0: 0, 68.0: 6}"
4778,68.0,1.0,"{50.0: 0, 28.0: 0, 29.0: 0, 68.0: 33}",1.0,"{50.0: 0, 29.0: 0, 68.0: 6}"
4793,68.0,0.029411764705882353,"{50.0: 0, 28.0: 1, 29.0: 0, 68.0: 33}",1.0,"{50.0: 0, 29.0: 0, 68.0: 6}"
5108,68.0,0.9714285714285714,"{50.0: 0, 28.0: 1, 29.0: 0, 68.0: 34}",1.0,"{50.0: 0, 29.0: 0, 68.0: 24}"
5233,68.0,0.9722222222222222,"{50.0: 0, 28.0: 1, 29.0: 0, 68.0: 35}",1.0,"{50.0: 0, 29.0: 0, 68.0: 24}"
5234,68.0,0.972972972972973,"{50.0: 0, 28.0: 1, 29.0: 0, 68.0: 36}",1.0,"{50.0: 0, 29.0: 0, 68.0: 24}"
5235,68.0,0.9736842105263158,"{50.0: 0, 28.0: 1, 29.0: 0, 68.0: 37}",1.0,"{50.0: 0, 29.0: 0, 68.0: 24}"
5236,68.0,0.9743589743589743,"{50.0: 0, 28.0: 1, 29.0: 0, 68.0: 38}",1.0,"{50.0: 0, 29.0: 0, 68.0: 24}"
5286,68.0,0.975,"{50.0: 0, 28.0: 1, 29.0: 0, 68.0: 39}",1.0,"{50.0: 0, 29.0: 0, 68.0: 24}"
5287,68.0,0.975609756097561,"{50.0: 0, 28.0: 1, 29.0: 0, 68.0: 40}",1.0,"{50.0: 0, 29.0: 0, 68.0: 24}"
5288,68.0,0.9761904761904762,"{50.0: 0, 28.0: 1, 29.0: 0, 68.0: 41}",1.0,"{50.0: 0, 29.0: 0, 68.0: 24}"
5505,68.0,0.046511627906976744,"{50.0: 0, 28.0: 2, 29.0: 0, 68.0: 41}",1.0,"{50.0: 0, 29.0: 0, 68.0: 30}"
5657,68.0,0.9545454545454546,"{50.0: 0, 28.0: 2, 29.0: 0, 68.0: 42}",1.0,"{50.0: 0, 29.0: 0, 68.0: 42}"
5658,68.0,0.9555555555555556,"{50.0: 0, 28.0: 2, 29.0: 0, 68.0: 43}",1.0,"{50.0: 0, 29.0: 0, 68.0: 42}"
5659,68.0,0.9565217391304348,"{50.0: 0, 28.0: 2, 29.0: 0, 68.0: 44}",1.0,"{50.0: 0, 29.0: 0, 68.0: 42}"
5660,68.0,0.9574468085106383,"{50.0: 0, 28.0: 2, 29.0: 0, 68.0: 45}",1.0,"{50.0: 0, 29.0: 0, 68.0: 42}"
5661,68.0,0.9583333333333334,"{50.0: 0, 28.0: 2, 29.0: 0, 68.0: 46}",1.0,"{50.0: 0, 29.0: 0, 68.0: 42}"
5662,68.0,0.9591836734693877,"{50.0: 0, 28.0: 2, 29.0: 0, 68.0: 47}",1.0,"{50.0: 0, 29.0: 0, 68.0: 42}"
5727,68.0,0.96,"{50.0: 0, 28.0: 2, 29.0: 0, 68.0: 48}",1.0,"{50.0: 0, 29.0: 0, 68.0: 42}"
5728,68.0,0.9607843137254902,"{50.0: 0, 28.0: 2, 29.0: 0, 68.0: 49}",1.0,"{50.0: 0, 29.0: 0, 68.0: 42}"
5730,68.0,0.9615384615384616,"{50.0: 0, 28.0: 2, 29.0: 0, 68.0: 50}",1.0,"{50.0: 0, 29.0: 0, 68.0: 42}"
5731,68.0,0.9622641509433962,"{50.0: 0, 28.0: 2, 29.0: 0, 68.0: 51}",1.0,"{50.0: 0, 29.0: 0, 68.0: 42}"
5732,68.0,0.9629629629629629,"{50.0: 0, 28.0: 2, 29.0: 0, 68.0: 52}",1.0,"{50.0: 0, 29.0: 0, 68.0: 42}"
5765,68.0,0.9636363636363636,"{50.0: 0, 28.0: 2, 29.0: 0, 68.0: 53}",1.0,"{50.0: 0, 29.0: 0, 68.0: 42}"
5766,68.0,0.9642857142857143,"{50.0: 0, 28.0: 2, 29.0: 0, 68.0: 54}",1.0,"{50.0: 0, 29.0: 0, 68.0: 42}"
5767,68.0,0.9649122807017544,"{50.0: 0, 28.0: 2, 29.0: 0, 68.0: 55}",1.0,"{50.0: 0, 29.0: 0, 68.0: 42}"
5768,68.0,0.9655172413793104,"{50.0: 0, 28.0: 2, 29.0: 0, 68.0: 56}",1.0,"{50.0: 0, 29.0: 0, 68.0: 42}"
5975,68.0,0.9661016949152542,"{50.0: 0, 28.0: 2, 29.0: 0, 68.0: 57}",1.0,"{50.0: 0, 29.0: 0, 68.0: 43}"
6079,68.0,0.9666666666666667,"{50.0: 0, 28.0: 2, 29.0: 0, 68.0: 58}",1.0,"{50.0: 0, 29.0: 0, 68.0: 44}"
6142,68.0,0.9672131147540983,"{50.0: 0, 28.0: 2, 29.0: 0, 68.0: 59}",1.0,"{50.0: 0, 29.0: 0, 68.0: 44}"
6345,68.0,0.967741935483871,"{50.0: 0, 28.0: 2, 29.0: 0, 68.0: 60}",1.0,"{50.0: 0, 29.0: 0, 68.0: 44}"
6346,68.0,0.9682539682539683,"{50.0: 0, 28.0: 2, 29.0: 0, 68.0: 61}",1.0,"{50.0: 0, 29.0: 0, 68.0: 44}"
6347,68.0,0.96875,"{50.0: 0, 28.0: 2, 29.0: 0, 68.0: 62}",1.0,"{50.0: 0, 29.0: 0, 68.0: 44}"
6348,68.0,0.9692307692307692,"{50.0: 0, 28.0: 2, 29.0: 0, 68.0: 63}",1.0,"{50.0: 0, 29.0: 0, 68.0: 44}"
6448,121.0,1.0,"{50.0: 0, 28.0: 0, 29.0: 0, 68.0: 0, 121.0: 1}",0,"{50.0: 0, 29.0: 0, 68.0: 0}"
6453,121.0,1.0,"{50.0: 0, 28.0: 0, 29.0: 0, 68.0: 0, 121.0: 2}",0,"{50.0: 0, 29.0: 0, 68.0: 0}"
6520,121.0,1.0,"{50.0: 0, 28.0: 0, 29.0: 0, 68.0: 0, 121.0: 3}",0,"{50.0: 0, 29.0: 0, 68.0: 0}"
6556,121.0,1.0,"{50.0: 0, 28.0: 0, 29.0: 0, 68.0: 0, 121.0: 4}",0,"{50.0: 0, 29.0: 0, 68.0: 0}"
6579,121.0,1.0,"{50.0: 0, 28.0: 0, 29.0: 0, 68.0: 0, 121.0: 5}",0,"{50.0: 0, 29.0: 0, 68.0: 0}"
6612,121.0,1.0,"{50.0: 0, 28.0: 0, 29.0: 0, 68.0: 0, 121.0: 6}",0,"{50.0: 0, 29.0: 0, 68.0: 0}"
6703,121.0,1.0,"{50.0: 0, 28.0: 0, 29.0: 0, 68.0: 0, 121.0: 7}",0,"{50.0: 0, 29.0: 0, 68.0: 0}"
6780,121.0,1.0,"{50.0: 0, 28.0: 0, 29.0: 0, 68.0: 0, 121.0: 8}",0,"{50.0: 0, 29.0: 0, 68.0: 0}"
6785,121.0,1.0,"{50.0: 0, 28.0: 0, 29.0: 0, 68.0: 0, 121.0: 9}",0,"{50.0: 0, 29.0: 0, 68.0: 0}"
6795,121.0,1.0,"{50.0: 0, 28.0: 0, 29.0: 0, 68.0: 0, 121.0: 10}",0,"{50.0: 0, 29.0: 0, 68.0: 0}"
6815,133.0,1.0,"{50.0: 0, 28.0: 0, 29.0: 0, 68.0: 0, 121.0: 0, 133.0: 1}",0,"{50.0: 0, 29.0: 0, 68.0: 0}"
6910,121.0,1.0,"{50.0: 0, 28.0: 0, 29.0: 0, 68.0: 0, 121.0: 11, 133.0: 0}",0,"{50.0: 0, 29.0: 0, 68.0: 0}"
6944,133.0,1.0,"{50.0: 0, 28.0: 0, 29.0: 0, 68.0: 0, 121.0: 0, 133.0: 2}",0,"{50.0: 0, 29.0: 0, 68.0: 0}"
7234,148.0,1.0,"{50.0: 0, 28.0: 0, 29.0: 0, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 1}",0,"{50.0: 0, 29.0: 0, 68.0: 0}"
7248,148.0,1.0,"{50.0: 0, 28.0: 0, 29.0: 0, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 2}",0,"{50.0: 0, 29.0: 0, 68.0: 0}"
7497,148.0,1.0,"{50.0: 0, 28.0: 0, 29.0: 0, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 3}",0,"{50.0: 0, 29.0: 0, 68.0: 0, 121.0: 0}"
7504,148.0,1.0,"{50.0: 0, 28.0: 0, 29.0: 0, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 4}",0,"{50.0: 0, 29.0: 0, 68.0: 0, 121.0: 0}"
7522,148.0,1.0,"{50.0: 0, 28.0: 0, 29.0: 0, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 5}",0,"{50.0: 0, 29.0: 0, 68.0: 0, 121.0: 0}"
7546,148.0,1.0,"{50.0: 0, 28.0: 0, 29.0: 0, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 6}",0,"{50.0: 0, 29.0: 0, 68.0: 0, 121.0: 0}"
7582,148.0,1.0,"{50.0: 0, 28.0: 0, 29.0: 0, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 7}",0,"{50.0: 0, 29.0: 0, 68.0: 0, 121.0: 0}"
7596,148.0,1.0,"{50.0: 0, 28.0: 0, 29.0: 0, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 8}",0,"{50.0: 0, 29.0: 0, 68.0: 0, 121.0: 0}"
7632,148.0,1.0,"{50.0: 0, 28.0: 0, 29.0: 0, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 9}",0,"{50.0: 0, 29.0: 0, 68.0: 0, 121.0: 0}"
7657,148.0,1.0,"{50.0: 0, 28.0: 0, 29.0: 0, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 10}",0,"{50.0: 0, 29.0: 0, 68.0: 0, 121.0: 0}"
7684,148.0,1.0,"{50.0: 0, 28.0: 0, 29.0: 0, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 11}",0,"{50.0: 0, 29.0: 0, 68.0: 0, 121.0: 0}"
7708,148.0,1.0,"{50.0: 0, 28.0: 0, 29.0: 0, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 12}",0,"{50.0: 0, 29.0: 0, 68.0: 0, 121.0: 0}"
7808,148.0,1.0,"{50.0: 0, 28.0: 0, 29.0: 0, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 13}",0,"{50.0: 0, 29.0: 0, 68.0: 0, 121.0: 0, 133.0: 0}"
7828,148.0,1.0,"{50.0: 0, 28.0: 0, 29.0: 0, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 14}",0,"{50.0: 0, 29.0: 0, 68.0: 0, 121.0: 0, 133.0: 0}"
7851,148.0,1.0,"{50.0: 0, 28.0: 0, 29.0: 0, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 15}",0,"{50.0: 0, 29.0: 0, 68.0: 0, 121.0: 0, 133.0: 0}"
7861,148.0,1.0,"{50.0: 0, 28.0: 0, 29.0: 0, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 16}",0,"{50.0: 0, 29.0: 0, 68.0: 0, 121.0: 0, 133.0: 0}"
7871,148.0,1.0,"{50.0: 0, 28.0: 0, 29.0: 0, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 17}",0,"{50.0: 0, 29.0: 0, 68.0: 0, 121.0: 0, 133.0: 0}"
7874,148.0,1.0,"{50.0: 0, 28.0: 0, 29.0: 0, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 18}",0,"{50.0: 0, 29.0: 0, 68.0: 0, 121.0: 0, 133.0: 0}"
7877,148.0,1.0,"{50.0: 0, 28.0: 0, 29.0: 0, 68.0: 0, 121.0: 0, 133.0: 0, 148.0: 19}",0,"{50.0: 0, 29.0: 0, 68.0: 0, 121.0: 0, 133.0: 0}"
