Time,Major Accuracy,Major Groundtruth,Minor Accuracy,Minor Groundtruth
120,1.0,{44.0: 1},0,{}
165,1.0,"{44.0: 0, 45.0: 1}",0,{41.0: 0}
167,1.0,"{44.0: 2, 45.0: 0}",0,{41.0: 0}
168,1.0,"{44.0: 0, 45.0: 1}",1.0,{41.0: 1}
310,1.0,"{44.0: 0, 45.0: 2}",0,{41.0: 0}
316,1.0,"{44.0: 0, 45.0: 3}",0,{41.0: 0}
324,1.0,"{44.0: 0, 45.0: 4}",0,{41.0: 0}
338,1.0,"{44.0: 0, 45.0: 5}",0,{41.0: 0}
351,1.0,"{44.0: 0, 45.0: 6}",1.0,"{41.0: 0, 45.0: 1}"
388,1.0,"{44.0: 0, 45.0: 7}",1.0,"{41.0: 0, 45.0: 3}"
588,1.0,"{44.0: 0, 45.0: 8}",1.0,"{41.0: 0, 45.0: 7}"
594,1.0,"{44.0: 0, 45.0: 9}",1.0,"{41.0: 0, 45.0: 9}"
639,1.0,"{44.0: 0, 45.0: 10}",1.0,"{41.0: 0, 45.0: 9}"
649,1.0,"{44.0: 0, 45.0: 11}",1.0,"{41.0: 0, 45.0: 9}"
656,1.0,"{44.0: 0, 45.0: 12}",1.0,"{41.0: 0, 45.0: 9}"
893,1.0,"{44.0: 0, 45.0: 13}",1.0,"{41.0: 0, 45.0: 14}"
896,1.0,"{44.0: 0, 45.0: 14}",1.0,"{41.0: 0, 45.0: 14}"
1443,1.0,"{44.0: 0, 45.0: 15}",1.0,"{41.0: 0, 45.0: 17}"
1444,1.0,"{44.0: 0, 45.0: 16}",1.0,"{41.0: 0, 45.0: 17}"
1445,1.0,"{44.0: 0, 45.0: 17}",1.0,"{41.0: 0, 45.0: 17}"
2074,1.0,"{44.0: 0, 45.0: 18}",1.0,"{41.0: 0, 45.0: 24}"
2078,1.0,"{44.0: 0, 45.0: 19}",1.0,"{41.0: 0, 45.0: 24}"
2194,1.0,"{44.0: 0, 45.0: 20}",1.0,"{41.0: 0, 45.0: 27}"
2195,1.0,"{44.0: 0, 45.0: 21}",1.0,"{41.0: 0, 45.0: 27}"
2199,1.0,"{44.0: 0, 45.0: 22}",1.0,"{41.0: 0, 45.0: 27}"
2220,1.0,"{44.0: 0, 45.0: 23}",1.0,"{41.0: 0, 45.0: 27}"
2221,1.0,"{44.0: 0, 45.0: 24}",1.0,"{41.0: 0, 45.0: 27}"
2223,1.0,"{44.0: 0, 45.0: 25}",1.0,"{41.0: 0, 45.0: 27}"
2263,1.0,"{44.0: 0, 45.0: 26}",1.0,"{41.0: 0, 45.0: 27}"
2769,1.0,"{44.0: 0, 45.0: 27}",1.0,"{41.0: 0, 45.0: 27}"
2776,1.0,"{44.0: 0, 45.0: 28}",1.0,"{41.0: 0, 45.0: 27}"
3026,0.5,"{44.0: 0, 45.0: 1, 41.0: 1}",1.0,"{41.0: 4, 45.0: 0}"
94,1.0,"{44.0: 4, 45.0: 0, 41.0: 0}",1.0,"{41.0: 3, 45.0: 0}"
3027,1.0,"{44.0: 0, 45.0: 29, 41.0: 0}",1.0,"{41.0: 0, 45.0: 27}"
3206,1.0,"{44.0: 0, 45.0: 30, 41.0: 0}",1.0,"{41.0: 0, 45.0: 30}"
3295,1.0,"{44.0: 0, 45.0: 31, 41.0: 0}",1.0,"{41.0: 0, 45.0: 30}"
3301,1.0,"{44.0: 0, 45.0: 32, 41.0: 0}",1.0,"{41.0: 0, 45.0: 30}"
3509,1.0,"{44.0: 0, 45.0: 33, 41.0: 0}",1.0,"{41.0: 0, 45.0: 39}"
