Time,Correct,Real cid,Classified cid,Score,Percentage,Queue Distribution
20,True,8.0,8.0,-1,1.0,{8.0: {8.0: 1}}
58,True,17.0,17.0,-1,1.0,"{8.0: {8.0: 1}, 17.0: {17.0: 1}}"
763,True,20.0,20.0,-1,1.0,"{8.0: {8.0: 1}, 17.0: {17.0: 1}, 20.0: {20.0: 1}}"
1618,True,20.0,20.0,0.22927384078502655,1.0,"{8.0: {8.0: 1}, 17.0: {17.0: 1}, 20.0: {20.0: 2}}"
2236,True,20.0,20.0,0.22908029705286026,1.0,"{8.0: {8.0: 1}, 17.0: {17.0: 1}, 20.0: {20.0: 3}}"
2352,True,20.0,20.0,0.2291156848271688,1.0,"{8.0: {8.0: 1}, 17.0: {17.0: 1}, 20.0: {20.0: 4}}"
2902,True,20.0,20.0,0.2294277362525463,1.0,"{8.0: {8.0: 1}, 17.0: {17.0: 1}, 20.0: {20.0: 5}}"
3661,True,20.0,20.0,0.2289379745721817,1.0,"{8.0: {8.0: 1}, 17.0: {17.0: 1}, 20.0: {20.0: 6}}"
3676,True,20.0,20.0,0.22938052068154016,1.0,"{8.0: {8.0: 1}, 17.0: {17.0: 1}, 20.0: {20.0: 7}}"
4502,True,55.0,55.0,-1,1.0,"{8.0: {8.0: 1}, 17.0: {17.0: 1}, 20.0: {20.0: 7}, 55.0: {55.0: 1}}"
4504,True,55.0,55.0,0.09190433472394943,1.0,"{8.0: {8.0: 1}, 17.0: {17.0: 1}, 20.0: {20.0: 7}, 55.0: {55.0: 2}}"
4531,True,55.0,55.0,0.09244275838136673,1.0,"{8.0: {8.0: 1}, 17.0: {17.0: 1}, 20.0: {20.0: 7}, 55.0: {55.0: 3}}"
4551,True,55.0,55.0,0.09237898389498393,1.0,"{8.0: {8.0: 1}, 17.0: {17.0: 1}, 20.0: {20.0: 7}, 55.0: {55.0: 4}}"
4567,True,55.0,55.0,0.09197739139199257,1.0,"{8.0: {8.0: 1}, 17.0: {17.0: 1}, 20.0: {20.0: 7}, 55.0: {55.0: 5}}"
4568,True,55.0,55.0,0.09223587065935135,1.0,"{8.0: {8.0: 1}, 17.0: {17.0: 1}, 20.0: {20.0: 7}, 55.0: {55.0: 6}}"
4744,True,55.0,55.0,0.08909882108370464,1.0,"{8.0: {8.0: 1}, 17.0: {17.0: 1}, 20.0: {20.0: 7}, 55.0: {55.0: 7}}"
4838,True,55.0,55.0,0.09198054777724403,1.0,"{8.0: {8.0: 1}, 17.0: {17.0: 1}, 20.0: {20.0: 7}, 55.0: {55.0: 8}}"
5045,True,55.0,55.0,0.09191274177283049,1.0,"{8.0: {8.0: 1}, 17.0: {17.0: 1}, 20.0: {20.0: 7}, 55.0: {55.0: 9}}"
5165,True,55.0,55.0,0.09205828275945452,1.0,"{8.0: {8.0: 1}, 17.0: {17.0: 1}, 20.0: {20.0: 7}, 55.0: {55.0: 10}}"
