Time,Correct,Real cid,Classified cid,Score,Percentage,Queue Distribution
39,True,2.0,2.0,-1,1.0,{2.0: {2.0: 1}}
40,True,2.0,2.0,0.0871666818857193,1.0,{2.0: {2.0: 2}}
602,True,11.0,11.0,-1,1.0,"{2.0: {2.0: 2}, 11.0: {11.0: 1}}"
658,True,15.0,15.0,-1,1.0,"{2.0: {2.0: 2}, 11.0: {11.0: 1}, 15.0: {15.0: 1}}"
2956,True,74.0,74.0,-1,1.0,"{2.0: {2.0: 2}, 11.0: {11.0: 1}, 15.0: {15.0: 1}, 74.0: {74.0: 1}}"
3276,True,117.0,117.0,-1,1.0,"{2.0: {2.0: 2}, 11.0: {11.0: 1}, 15.0: {15.0: 1}, 74.0: {74.0: 1}, 117.0: {117.0: 1}}"
4200,True,117.0,117.0,0.23857654631137848,1.0,"{2.0: {2.0: 2}, 11.0: {11.0: 1}, 15.0: {15.0: 1}, 74.0: {74.0: 1}, 117.0: {117.0: 2}}"
4288,True,117.0,117.0,-1,1.0,"{2.0: {2.0: 2}, 11.0: {11.0: 1}, 15.0: {15.0: 1}, 74.0: {74.0: 1}, 117.0: {117.0: 3}}"
5164,True,117.0,117.0,-1,1.0,"{2.0: {2.0: 2}, 11.0: {11.0: 1}, 15.0: {15.0: 1}, 74.0: {74.0: 1}, 117.0: {117.0: 4}}"
5228,True,117.0,117.0,-1,1.0,"{2.0: {2.0: 2}, 11.0: {11.0: 1}, 15.0: {15.0: 1}, 74.0: {74.0: 1}, 117.0: {117.0: 5}}"
6028,True,117.0,117.0,-1,1.0,"{2.0: {2.0: 2}, 11.0: {11.0: 1}, 15.0: {15.0: 1}, 74.0: {74.0: 1}, 117.0: {117.0: 6}}"
7155,True,117.0,117.0,-1,1.0,"{2.0: {2.0: 2}, 11.0: {11.0: 1}, 15.0: {15.0: 1}, 74.0: {74.0: 1}, 117.0: {117.0: 7}}"
7213,True,117.0,117.0,-1,1.0,"{2.0: {2.0: 2}, 11.0: {11.0: 1}, 15.0: {15.0: 1}, 74.0: {74.0: 1}, 117.0: {117.0: 8}}"
8185,True,117.0,117.0,-1,1.0,"{2.0: {2.0: 2}, 11.0: {11.0: 1}, 15.0: {15.0: 1}, 74.0: {74.0: 1}, 117.0: {117.0: 9}}"
9298,True,117.0,117.0,-1,1.0,"{2.0: {2.0: 2}, 11.0: {11.0: 1}, 15.0: {15.0: 1}, 74.0: {74.0: 1}, 117.0: {117.0: 10}}"
9367,True,117.0,117.0,-1,1.0,"{2.0: {2.0: 2}, 11.0: {11.0: 1}, 15.0: {15.0: 1}, 74.0: {74.0: 1}, 117.0: {117.0: 11}}"
10229,True,117.0,117.0,0.19429207541609436,1.0,"{2.0: {2.0: 2}, 11.0: {11.0: 1}, 15.0: {15.0: 1}, 74.0: {74.0: 1}, 117.0: {117.0: 12}}"
10306,True,117.0,117.0,-1,1.0,"{2.0: {2.0: 2}, 11.0: {11.0: 1}, 15.0: {15.0: 1}, 74.0: {74.0: 1}, 117.0: {117.0: 13}}"
11298,True,143.0,143.0,-1,1.0,"{2.0: {2.0: 2}, 11.0: {11.0: 1}, 15.0: {15.0: 1}, 74.0: {74.0: 1}, 117.0: {117.0: 13}, 143.0: {143.0: 1}}"
11310,True,143.0,143.0,0.1456252634525299,1.0,"{2.0: {2.0: 2}, 11.0: {11.0: 1}, 15.0: {15.0: 1}, 74.0: {74.0: 1}, 117.0: {117.0: 13}, 143.0: {143.0: 2}}"
11316,True,143.0,143.0,0.14445190131664276,1.0,"{2.0: {2.0: 2}, 11.0: {11.0: 1}, 15.0: {15.0: 1}, 74.0: {74.0: 1}, 117.0: {117.0: 13}, 143.0: {143.0: 3}}"
11343,True,143.0,143.0,0.14555427432060242,1.0,"{2.0: {2.0: 2}, 11.0: {11.0: 1}, 15.0: {15.0: 1}, 74.0: {74.0: 1}, 117.0: {117.0: 13}, 143.0: {143.0: 4}}"
11347,True,143.0,143.0,0.14538177102804184,1.0,"{2.0: {2.0: 2}, 11.0: {11.0: 1}, 15.0: {15.0: 1}, 74.0: {74.0: 1}, 117.0: {117.0: 13}, 143.0: {143.0: 5}}"
11411,True,143.0,143.0,0.1430680513381958,1.0,"{2.0: {2.0: 2}, 11.0: {11.0: 1}, 15.0: {15.0: 1}, 74.0: {74.0: 1}, 117.0: {117.0: 13}, 143.0: {143.0: 6}}"
11453,True,140.0,140.0,-1,1.0,"{2.0: {2.0: 2}, 15.0: {15.0: 1}, 74.0: {74.0: 1}, 117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 1}}"
11709,True,140.0,140.0,0.24228322505950928,1.0,"{2.0: {2.0: 2}, 15.0: {15.0: 1}, 74.0: {74.0: 1}, 117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 2}}"
11802,True,140.0,140.0,-1,1.0,"{2.0: {2.0: 2}, 15.0: {15.0: 1}, 74.0: {74.0: 1}, 117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 3}}"
11852,True,140.0,140.0,-1,1.0,"{2.0: {2.0: 2}, 15.0: {15.0: 1}, 74.0: {74.0: 1}, 117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 4}}"
11874,True,140.0,140.0,-1,1.0,"{2.0: {2.0: 2}, 15.0: {15.0: 1}, 74.0: {74.0: 1}, 117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 5}}"
11967,True,140.0,140.0,-1,1.0,"{2.0: {2.0: 2}, 15.0: {15.0: 1}, 74.0: {74.0: 1}, 117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 6}}"
12007,True,140.0,140.0,-1,1.0,"{2.0: {2.0: 2}, 15.0: {15.0: 1}, 74.0: {74.0: 1}, 117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 7}}"
12027,True,140.0,140.0,-1,1.0,"{2.0: {2.0: 2}, 74.0: {74.0: 1}, 117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 8}}"
12070,True,140.0,140.0,-1,1.0,"{2.0: {2.0: 2}, 74.0: {74.0: 1}, 117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 9}}"
12145,True,140.0,140.0,-1,1.0,"{2.0: {2.0: 2}, 74.0: {74.0: 1}, 117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 10}}"
12187,True,140.0,140.0,-1,1.0,"{2.0: {2.0: 2}, 74.0: {74.0: 1}, 117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 11}}"
12229,True,140.0,140.0,-1,1.0,"{2.0: {2.0: 2}, 74.0: {74.0: 1}, 117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 12}}"
12255,True,140.0,140.0,-1,1.0,"{2.0: {2.0: 2}, 74.0: {74.0: 1}, 117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 13}}"
12293,True,140.0,140.0,-1,1.0,"{2.0: {2.0: 2}, 74.0: {74.0: 1}, 117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 14}}"
12345,True,140.0,140.0,-1,1.0,"{2.0: {2.0: 2}, 74.0: {74.0: 1}, 117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 15}}"
12366,True,140.0,140.0,-1,1.0,"{2.0: {2.0: 2}, 74.0: {74.0: 1}, 117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 16}}"
12408,True,140.0,140.0,-1,1.0,"{2.0: {2.0: 2}, 74.0: {74.0: 1}, 117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 17}}"
12438,True,140.0,140.0,-1,1.0,"{2.0: {2.0: 2}, 74.0: {74.0: 1}, 117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 18}}"
12459,True,140.0,140.0,-1,1.0,"{2.0: {2.0: 2}, 74.0: {74.0: 1}, 117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 19}}"
12480,True,140.0,140.0,-1,1.0,"{2.0: {2.0: 2}, 74.0: {74.0: 1}, 117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 20}}"
12508,True,140.0,140.0,-1,1.0,"{74.0: {74.0: 1}, 117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 21}}"
12545,True,140.0,140.0,-1,1.0,"{74.0: {74.0: 1}, 117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 22}}"
12587,True,140.0,140.0,-1,1.0,"{74.0: {74.0: 1}, 117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 23}}"
12641,True,140.0,140.0,-1,1.0,"{74.0: {74.0: 1}, 117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 24}}"
12683,True,140.0,140.0,-1,1.0,"{74.0: {74.0: 1}, 117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 25}}"
12725,True,140.0,140.0,-1,1.0,"{74.0: {74.0: 1}, 117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 26}}"
12767,True,140.0,140.0,-1,1.0,"{74.0: {74.0: 1}, 117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 27}}"
12798,True,140.0,140.0,-1,1.0,"{74.0: {74.0: 1}, 117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 28}}"
12841,True,140.0,140.0,-1,1.0,"{74.0: {74.0: 1}, 117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 29}}"
12863,True,140.0,140.0,-1,1.0,"{74.0: {74.0: 1}, 117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 30}}"
12884,True,140.0,140.0,-1,1.0,"{74.0: {74.0: 1}, 117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 31}}"
12924,True,140.0,140.0,-1,1.0,"{74.0: {74.0: 1}, 117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 32}}"
12935,True,140.0,140.0,-1,1.0,"{74.0: {74.0: 1}, 117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 33}}"
12987,True,140.0,140.0,-1,1.0,"{74.0: {74.0: 1}, 117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 34}}"
13007,True,140.0,140.0,-1,1.0,"{74.0: {74.0: 1}, 117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 35}}"
13045,True,140.0,140.0,-1,1.0,"{74.0: {74.0: 1}, 117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 36}}"
13092,True,140.0,140.0,-1,1.0,"{74.0: {74.0: 1}, 117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 37}}"
13134,True,140.0,140.0,-1,1.0,"{74.0: {74.0: 1}, 117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 38}}"
13178,True,140.0,140.0,-1,1.0,"{74.0: {74.0: 1}, 117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 39}}"
13199,True,140.0,140.0,-1,1.0,"{74.0: {74.0: 1}, 117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 40}}"
13241,True,140.0,140.0,-1,1.0,"{74.0: {74.0: 1}, 117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 41}}"
13245,True,140.0,140.0,-1,1.0,"{117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 42}}"
13324,True,140.0,140.0,-1,1.0,"{117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 43}}"
13376,True,140.0,140.0,-1,1.0,"{117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 44}}"
13397,True,140.0,140.0,-1,1.0,"{117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 45}}"
13441,True,140.0,140.0,-1,1.0,"{117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 46}}"
13505,True,140.0,140.0,-1,1.0,"{117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 47}}"
13526,True,140.0,140.0,-1,1.0,"{117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 48}}"
13547,True,140.0,140.0,-1,1.0,"{117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 49}}"
13579,True,140.0,140.0,0.09946889788564021,1.0,"{117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 50}}"
13610,True,140.0,140.0,-1,1.0,"{117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 51}}"
13620,True,140.0,140.0,-1,1.0,"{117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 52}}"
13641,True,140.0,140.0,-1,1.0,"{117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 53}}"
13695,True,140.0,140.0,-1,1.0,"{117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 54}}"
13716,True,140.0,140.0,-1,1.0,"{117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 55}}"
13725,True,140.0,140.0,-1,1.0,"{117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 56}}"
13746,True,140.0,140.0,-1,1.0,"{117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 57}}"
13766,True,140.0,140.0,-1,1.0,"{117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 58}}"
13828,True,140.0,140.0,-1,1.0,"{117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 59}}"
13849,True,140.0,140.0,0.12857009522303997,1.0,"{117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 60}}"
13881,True,140.0,140.0,0.12337548875518678,1.0,"{117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 61}}"
13921,True,140.0,140.0,0.12339338367353321,1.0,"{117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 62}}"
13942,True,140.0,140.0,-1,1.0,"{117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 63}}"
13984,True,140.0,140.0,-1,1.0,"{117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 64}}"
14005,True,140.0,140.0,0.10852253206116984,1.0,"{117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 65}}"
14017,True,140.0,140.0,-1,1.0,"{117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 66}}"
14037,True,140.0,140.0,-1,1.0,"{117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 67}}"
14080,True,140.0,140.0,-1,1.0,"{117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 68}}"
14101,True,140.0,140.0,-1,1.0,"{117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 69}}"
14131,True,140.0,140.0,-1,1.0,"{117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 70}}"
14141,True,140.0,140.0,-1,1.0,"{117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 71}}"
14185,True,140.0,140.0,-1,1.0,"{117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 72}}"
14217,True,140.0,140.0,-1,1.0,"{117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 73}}"
14227,True,140.0,140.0,0.12099638299914658,1.0,"{117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 74}}"
14247,True,140.0,140.0,-1,1.0,"{117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 75}}"
14268,True,140.0,140.0,-1,1.0,"{117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 76}}"
14311,True,140.0,140.0,-1,1.0,"{117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 77}}"
14364,True,140.0,140.0,-1,1.0,"{117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 78}}"
14384,True,140.0,140.0,-1,1.0,"{117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 79}}"
14415,True,140.0,140.0,0.11987329229432361,1.0,"{117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 80}}"
14426,True,140.0,140.0,0.10732141910787903,1.0,"{117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 81}}"
14448,True,140.0,140.0,-1,1.0,"{117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 82}}"
14479,True,140.0,140.0,-1,1.0,"{117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 83}}"
14501,True,140.0,140.0,-1,1.0,"{117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 84}}"
14522,True,140.0,140.0,-1,1.0,"{117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 85}}"
14542,True,140.0,140.0,-1,1.0,"{117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 86}}"
14573,True,140.0,140.0,0.1210561070962541,1.0,"{117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 87}}"
14594,True,140.0,140.0,-1,1.0,"{117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 88}}"
14615,True,140.0,140.0,-1,1.0,"{117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 89}}"
14636,True,140.0,140.0,-1,1.0,"{117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 90}}"
14657,True,140.0,140.0,-1,1.0,"{117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 91}}"
14699,True,140.0,140.0,0.11577893169478556,1.0,"{117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 92}}"
14710,True,140.0,140.0,-1,1.0,"{117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 93}}"
14741,True,140.0,140.0,-1,1.0,"{117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 94}}"
14763,True,140.0,140.0,-1,1.0,"{117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 95}}"
14783,True,140.0,140.0,-1,1.0,"{117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 96}}"
14814,True,140.0,140.0,-1,1.0,"{117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 97}}"
14834,True,140.0,140.0,0.127165942375359,1.0,"{117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 98}}"
14856,True,140.0,140.0,0.1295753943384625,1.0,"{117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 99}}"
14877,True,140.0,140.0,-1,1.0,"{117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 100}}"
14887,True,140.0,140.0,-1,1.0,"{117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 101}}"
14907,True,140.0,140.0,0.11456618635713767,1.0,"{117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 102}}"
14938,True,140.0,140.0,-1,1.0,"{117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 103}}"
14991,True,140.0,140.0,-1,1.0,"{117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 104}}"
15012,True,140.0,140.0,-1,1.0,"{117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 105}}"
15054,True,140.0,140.0,-1,1.0,"{117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 106}}"
15096,True,140.0,140.0,-1,1.0,"{117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 107}}"
15159,True,140.0,140.0,0.12855097434351137,1.0,"{117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 108}}"
15201,True,140.0,140.0,-1,1.0,"{117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 109}}"
15222,True,140.0,140.0,0.12338811440531572,1.0,"{117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 110}}"
15262,True,140.0,140.0,-1,1.0,"{117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 111}}"
15282,True,140.0,140.0,-1,1.0,"{117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 112}}"
15304,True,140.0,140.0,-1,1.0,"{117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 113}}"
15346,True,140.0,140.0,-1,1.0,"{117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 114}}"
15377,True,140.0,140.0,-1,1.0,"{117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 115}}"
15409,True,140.0,140.0,-1,1.0,"{117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 116}}"
15418,True,140.0,140.0,-1,1.0,"{117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 117}}"
15440,True,140.0,140.0,-1,1.0,"{117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 118}}"
15471,True,140.0,140.0,-1,1.0,"{117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 119}}"
15493,True,140.0,140.0,-1,1.0,"{117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 120}}"
15524,True,140.0,140.0,0.12806042982879262,1.0,"{117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 121}}"
15546,True,140.0,140.0,-1,1.0,"{117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 122}}"
15579,True,140.0,140.0,-1,1.0,"{117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 123}}"
15642,True,140.0,140.0,-1,1.0,"{117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 124}}"
15705,True,140.0,140.0,0.12440469386056066,1.0,"{117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 125}}"
15747,True,140.0,140.0,0.11141313118860126,1.0,"{117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 126}}"
15779,True,140.0,140.0,0.1278837424737503,1.0,"{117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 127}}"
15799,True,140.0,140.0,-1,1.0,"{117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 128}}"
15820,True,140.0,140.0,-1,1.0,"{117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 129}}"
15840,True,140.0,140.0,0.12618333972568507,1.0,"{117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 130}}"
15851,True,140.0,140.0,0.14453292712569238,1.0,"{117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 131}}"
15873,True,140.0,140.0,-1,1.0,"{117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 132}}"
15915,True,140.0,140.0,0.1429989699703583,1.0,"{117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 133}}"
15957,True,140.0,140.0,0.13239616863429546,1.0,"{117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 134}}"
15999,True,140.0,140.0,0.10566685875096482,1.0,"{117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 135}}"
16061,True,140.0,140.0,-1,1.0,"{117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 136}}"
16121,True,140.0,140.0,-1,1.0,"{117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 137}}"
16141,True,140.0,140.0,-1,1.0,"{117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 138}}"
16173,True,140.0,140.0,-1,1.0,"{117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 139}}"
16194,True,140.0,140.0,0.10325587781057947,1.0,"{117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 140}}"
16246,True,140.0,140.0,-1,1.0,"{117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 141}}"
16278,True,140.0,140.0,0.1308122962398329,1.0,"{117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 142}}"
16330,True,140.0,140.0,-1,1.0,"{117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 143}}"
16351,True,140.0,140.0,-1,1.0,"{117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 144}}"
16455,True,140.0,140.0,0.12778503287470783,1.0,"{117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 145}}"
16475,True,140.0,140.0,-1,1.0,"{117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 146}}"
16507,True,140.0,140.0,0.09522093124687672,1.0,"{117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 147}}"
16549,True,140.0,140.0,-1,1.0,"{117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 148}}"
16570,True,140.0,140.0,-1,1.0,"{117.0: {117.0: 13}, 143.0: {143.0: 6}, 140.0: {140.0: 149}}"
