Time,Real cid,Classified cid,Score,Queue Distribution,Representive,Percentage,Queue Size,Dominated
20,1.0,1.0,-1,{1.0: {1.0: 1}},True,1.0,1,True
483,7.0,7.0,-1,"{1.0: {1.0: 1}, 7.0: {7.0: 1}}",True,1.0,1,True
535,7.0,7.0,0.08907776325941086,"{1.0: {1.0: 1}, 7.0: {7.0: 2}}",True,1.0,2,True
536,7.0,7.0,0.09805257990956306,"{1.0: {1.0: 1}, 7.0: {7.0: 3}}",True,1.0,3,True
544,7.0,7.0,0.10215017944574356,"{1.0: {1.0: 1}, 7.0: {7.0: 4}}",True,1.0,4,True
702,7.0,7.0,0.10239171609282494,"{1.0: {1.0: 1}, 7.0: {7.0: 5}}",True,1.0,5,True
739,7.0,7.0,0.10025903284549713,"{1.0: {1.0: 1}, 7.0: {7.0: 6}}",True,1.0,6,True
833,7.0,7.0,0.10307718937595685,"{1.0: {1.0: 1}, 7.0: {7.0: 7}}",True,1.0,7,True
857,7.0,7.0,0.10265879652329854,"{1.0: {1.0: 1}, 7.0: {7.0: 8}}",True,1.0,8,True
861,7.0,7.0,0.1022659819573164,"{1.0: {1.0: 1}, 7.0: {7.0: 9}}",True,1.0,9,True
1037,7.0,7.0,0.10407818026012844,"{1.0: {1.0: 1}, 7.0: {7.0: 10}}",True,1.0,10,True
1057,7.0,7.0,0.10431003496050835,"{1.0: {1.0: 1}, 7.0: {7.0: 11}}",True,1.0,11,True
1063,7.0,7.0,0.10203599591146816,"{1.0: {1.0: 1}, 7.0: {7.0: 12}}",True,1.0,12,True
1121,7.0,7.0,0.10246266300479571,"{1.0: {1.0: 1}, 7.0: {7.0: 13}}",True,1.0,13,True
1125,7.0,7.0,0.10452944899980839,"{1.0: {1.0: 1}, 7.0: {7.0: 14}}",True,1.0,14,True
1171,7.0,7.0,0.1048805255975042,"{1.0: {1.0: 1}, 7.0: {7.0: 15}}",True,1.0,15,True
1184,7.0,7.0,0.1051270787914594,"{1.0: {1.0: 1}, 7.0: {7.0: 16}}",True,1.0,16,True
1772,24.0,7.0,0.08985767560079694,"{1.0: {1.0: 1}, 7.0: {7.0: 16, 24.0: 1}}",True,0.058823529411764705,17,False
1806,7.0,7.0,0.10354218894944471,"{1.0: {1.0: 1}, 7.0: {7.0: 17, 24.0: 1}}",True,0.9444444444444444,18,True
