Time,Real cid,Classified cid,Score,Queue Distribution,Representive,Percentage,Queue Size,Dominated
12715,303.0,1245430.0,851664.0,"[492177.0, 359487.0]","[50, 36]"
14024,303.0,2074964.0,1166722.0,"[512970.0, 653752.0]","[50, 58]"
16620,303.0,3739525.0,3097880.0,"[1171592.0, 963144.0, 963144.0]","[100, 88, 88]"
17138,303.0,4070548.0,3705147.0,"[1101541.0, 1301803.0, 1301803.0]","[100, 111, 111]"
18873,303.0,5187706.0,6427843.0,"[1745641.0, 1560734.0, 1560734.0, 1560734.0]","[150, 133, 133, 133]"
19697,303.0,5716272.0,7533133.0,"[1774792.0, 1919447.0, 1919447.0, 1919447.0]","[150, 164, 164, 164]"
21360,303.0,6785197.0,11338226.0,"[2389002.0, 2237306.0, 2237306.0, 2237306.0, 2237306.0]","[200, 190, 190, 190, 190]"
21987,303.0,7188073.0,12295016.0,"[2367916.0, 2481775.0, 2481775.0, 2481775.0, 2481775.0]","[200, 209, 209, 209, 209]"
24214,303.0,8621993.0,17305906.0,"[2998146.0, 2861552.0, 2861552.0, 2861552.0, 2861552.0, 2861552.0]","[250, 236, 236, 236, 236, 236]"
24992,303.0,9121561.0,18994024.0,"[3038489.0, 3191107.0, 3191107.0, 3191107.0, 3191107.0, 3191107.0]","[250, 261, 261, 261, 261, 261]"
27851,303.0,10957595.0,25689966.0,"[3613914.0, 3679342.0, 3679342.0, 3679342.0, 3679342.0, 3679342.0, 3679342.0]","[300, 297, 297, 297, 297, 297, 297]"
28027,303.0,11071470.0,25551362.0,"[3722414.0, 3638158.0, 3638158.0, 3638158.0, 3638158.0, 3638158.0, 3638158.0]","[300, 302, 302, 302, 302, 302, 302]"
31422,303.0,13252514.0,33643855.0,"[4419758.0, 4174871.0, 4174871.0, 4174871.0, 4174871.0, 4174871.0, 4174871.0, 4174871.0]","[350, 336, 336, 336, 336, 336, 336, 336]"
32197,303.0,13751450.0,36448024.0,"[4308084.0, 4591420.0, 4591420.0, 4591420.0, 4591420.0, 4591420.0, 4591420.0, 4591420.0]","[350, 367, 367, 367, 367, 367, 367, 367]"
34441,303.0,15192757.0,41658113.0,"[4895041.0, 4595384.0, 4595384.0, 4595384.0, 4595384.0, 4595384.0, 4595384.0, 4595384.0, 4595384.0]","[400, 378, 378, 378, 378, 378, 378, 378, 378]"
36239,303.0,16354429.0,46080658.0,"[4815754.0, 5158113.0, 5158113.0, 5158113.0, 5158113.0, 5158113.0, 5158113.0, 5158113.0, 5158113.0]","[400, 424, 424, 424, 424, 424, 424, 424, 424]"
38237,303.0,17637102.0,51783861.0,"[5515392.0, 5140941.0, 5140941.0, 5140941.0, 5140941.0, 5140941.0, 5140941.0, 5140941.0, 5140941.0, 5140941.0]","[450, 417, 417, 417, 417, 417, 417, 417, 417, 417]"
39944,303.0,18733395.0,57903252.0,"[5563176.0, 5815564.0, 5815564.0, 5815564.0, 5815564.0, 5815564.0, 5815564.0, 5815564.0, 5815564.0, 5815564.0]","[450, 469, 469, 469, 469, 469, 469, 469, 469, 469]"
41618,303.0,19811736.0,64927788.0,"[6192788.0, 5873500.0, 5873500.0, 5873500.0, 5873500.0, 5873500.0, 5873500.0, 5873500.0, 5873500.0, 5873500.0, 5873500.0]","[500, 468, 468, 468, 468, 468, 468, 468, 468, 468, 468]"
43955,303.0,21310725.0,75642172.0,"[6848612.0, 6253960.0, 6253960.0, 6253960.0, 6253960.0, 6253960.0, 6253960.0, 6253960.0, 6253960.0, 6253960.0, 6253960.0, 6253960.0]","[550, 482, 482, 482, 482, 482, 482, 482, 482, 482, 482, 482]"
47024,303.0,23287066.0,80255659.0,"[6618559.0, 7363710.0, 7363710.0, 7363710.0, 7363710.0, 7363710.0, 7363710.0, 7363710.0, 7363710.0, 7363710.0, 7363710.0]","[500, 575, 575, 575, 575, 575, 575, 575, 575, 575, 575]"
49405,303.0,24819742.0,92240408.0,"[7838096.0, 7033526.0, 7033526.0, 7033526.0, 7033526.0, 7033526.0, 7033526.0, 7033526.0, 7033526.0, 7033526.0, 7033526.0, 7033526.0, 7033526.0]","[600, 534, 534, 534, 534, 534, 534, 534, 534, 534, 534, 534, 534]"
50329,303.0,25413786.0,95671824.0,"[7187417.0, 8044037.0, 8044037.0, 8044037.0, 8044037.0, 8044037.0, 8044037.0, 8044037.0, 8044037.0, 8044037.0, 8044037.0, 8044037.0]","[550, 614, 614, 614, 614, 614, 614, 614, 614, 614, 614, 614]"
52176,303.0,26602414.0,105836168.0,"[8497888.0, 7487560.0, 7487560.0, 7487560.0, 7487560.0, 7487560.0, 7487560.0, 7487560.0, 7487560.0, 7487560.0, 7487560.0, 7487560.0, 7487560.0, 7487560.0]","[650, 577, 577, 577, 577, 577, 577, 577, 577, 577, 577, 577, 577, 577]"
53935,303.0,27732877.0,115132551.0,"[7701411.0, 8952595.0, 8952595.0, 8952595.0, 8952595.0, 8952595.0, 8952595.0, 8952595.0, 8952595.0, 8952595.0, 8952595.0, 8952595.0, 8952595.0]","[600, 696, 696, 696, 696, 696, 696, 696, 696, 696, 696, 696, 696]"
54162,303.0,27877568.0,111744043.0,"[9000725.0, 7745974.0, 7745974.0, 7745974.0, 7745974.0, 7745974.0, 7745974.0, 7745974.0, 7745974.0, 7745974.0, 7745974.0, 7745974.0, 7745974.0, 7745974.0, 2045656.0]","[700, 604, 604, 604, 604, 604, 604, 604, 604, 604, 604, 604, 604, 604, 141]"
