Coflow ID,Start Time,Completion Time,Duration Time,Coflow Size,Coflow Priority
34.0,10,891530,891520,7340032.0,0
60.0,1510,670350,668840,2097152.0,0
93.0,2300,618950,616650,5242880.0,0
116.0,3260,906380,903120,28311552.0,1
124.0,6210,910870,904660,6291456.0,0
134.0,6930,697580,690650,668991488.0,2
158.0,7880,697600,689720,4293918720.0,3
159.0,12650,697690,685040,3646947328.0,3
167.0,93740,957420,863680,10369368064.0,3
168.0,119600,627710,508110,1048576.0,0
180.0,120140,988550,868410,13248757760.0,4
229.0,170260,740220,569960,1048576.0,0
232.0,170570,745870,575300,1048576.0,0
245.0,170970,1196130,1025160,15497953280.0,4
252.0,225080,1213050,987970,4831838208.0,3
275.0,255700,1220410,964710,15728640.0,1
307.0,257270,1313770,1056500,29500637184.0,4
312.0,322600,802070,479470,31457280.0,1
321.0,324430,808330,483900,1048576.0,0
327.0,324970,1280920,955950,26214400.0,1
334.0,327850,1281000,953150,20654850048.0,4
347.0,498930,844540,345610,13631488.0,1
384.0,499650,845620,345970,40894464.0,1
391.0,503210,646620,143410,50331648.0,1
413.0,503430,845690,342260,25165824.0,1
443.0,504910,1281940,777030,4429185024.0,3
448.0,609220,846950,237730,209715200.0,2
466.0,612240,864240,252000,52428800.0,1
478.0,612730,871650,258920,2097152.0,0
481.0,613020,878900,265880,247463936.0,2
485.0,613240,880650,267410,121634816.0,2
504.0,617500,888820,271320,2097152.0,0
