Coflow ID,Start Time,Completion Time,Duration Time,Coflow Size,Coflow Priority
45.0,10,551090,551080,314572800.0,2
30.0,2570,538350,535780,7340032.0,0
57.0,9850,864400,854550,4194304.0,0
84.0,10800,474780,463980,159383552.0,2
85.0,11110,867620,856510,12582912.0,1
86.0,12290,589720,577430,24117248.0,1
89.0,14270,593630,579360,456130560.0,2
111.0,26370,599810,573440,188743680.0,2
120.0,27380,633050,605670,29360128.0,1
144.0,32440,635160,602720,6291456.0,0
153.0,32910,636120,603210,4634705920.0,3
156.0,89350,636380,547030,3464495104.0,3
165.0,121080,873310,752230,30408704.0,1
180.0,124090,899770,775680,13248757760.0,4
201.0,162590,917660,755070,6574571520.0,3
208.0,203620,926020,722400,13631488.0,1
217.0,205420,930450,725030,7340032.0,0
235.0,206020,934630,728610,8388608.0,0
239.0,207130,941680,734550,12582912.0,1
253.0,208870,212210,3340,80740352.0,1
264.0,212220,703830,491610,1048576.0,0
272.0,213780,952420,738640,26214400.0,1
278.0,215600,713190,497590,1048576.0,0
281.0,215800,956000,740200,50331648.0,1
287.0,216310,971860,755550,851443712.0,2
296.0,218160,760480,542320,2097152.0,0
312.0,218360,976830,758470,31457280.0,1
314.0,220220,985530,765310,29360128.0,1
327.0,223020,993520,770500,26214400.0,1
355.0,224620,1002440,777820,14680064.0,1
363.0,225420,1009610,784190,4194304.0,0
387.0,225620,1010810,785190,706740224.0,2
411.0,228020,1011050,783030,213909504.0,2
457.0,232050,1190550,958500,37610323968.0,4
473.0,411590,806130,394540,61865984.0,1
480.0,411830,1102830,691000,1237319680.0,3
489.0,412270,1165000,752730,23316135936.0,4
526.0,464760,851190,386430,10485760.0,0
