35000,"{38.0: [['1--1'], 18], 93.0: [['1--1'], 5], 95.0: [['1--1'], 5], 116.0: [['1--1'], 13], 108.0: [['1--1'], 19], 147.0: [['1--1'], 1]}","{38.0: {38.0: 1, 26.0: 3, 14.0: 4, 86.0: 1, 108.0: 8, 116.0: 1}, 93.0: {93.0: 3, 108.0: 2}, 95.0: {95.0: 4, 108.0: 1}, 116.0: {116.0: 13}, 108.0: {108.0: 19}, 147.0: {147.0: 1}}"
70000,"{238.0: [['1--1'], 16], 242.0: [['1--1'], 16], 253.0: [['1--1'], 15], 262.0: [['1--1'], 15], 298.0: [['1--1'], 15], 337.0: [['1--1'], 15], 324.0: [['1--1'], 15], 359.0: [['1--1'], 15], 401.0: [['1--1'], 15], 409.0: [['1--1'], 15]}","{238.0: {238.0: 1, 255.0: 1, 294.0: 4, 409.0: 7, 401.0: 3}, 242.0: {242.0: 1, 255.0: 1, 268.0: 1, 294.0: 6, 401.0: 1, 409.0: 5, 415.0: 1}, 253.0: {253.0: 4, 294.0: 1, 401.0: 4, 409.0: 6}, 262.0: {262.0: 6, 409.0: 6, 401.0: 3}, 298.0: {298.0: 1, 294.0: 4, 409.0: 7, 401.0: 3}, 337.0: {337.0: 13, 409.0: 2}, 324.0: {324.0: 10, 401.0: 1, 409.0: 4}, 359.0: {359.0: 1, 401.0: 3, 409.0: 11}, 401.0: {401.0: 5, 409.0: 9, 415.0: 1}, 409.0: {409.0: 14, 415.0: 1}}"
105000,"{238.0: [['1--1'], 69], 242.0: [['1--1'], 69], 253.0: [['1--1'], 69], 262.0: [['1--1'], 69], 298.0: [['1--1'], 68], 337.0: [['1--1'], 68], 324.0: [['1--1'], 68], 359.0: [['1--1'], 68], 401.0: [['1--1'], 68], 409.0: [['1--1'], 68]}","{238.0: {238.0: 1, 255.0: 1, 294.0: 4, 409.0: 14, 401.0: 3, 448.0: 2, 457.0: 37, 458.0: 7}, 242.0: {242.0: 1, 255.0: 1, 268.0: 1, 294.0: 6, 401.0: 1, 409.0: 12, 415.0: 1, 448.0: 1, 457.0: 33, 458.0: 12}, 253.0: {253.0: 4, 294.0: 1, 401.0: 4, 409.0: 14, 448.0: 1, 457.0: 29, 458.0: 16}, 262.0: {262.0: 6, 409.0: 14, 401.0: 3, 448.0: 1, 457.0: 33, 458.0: 12}, 298.0: {298.0: 1, 294.0: 4, 409.0: 15, 401.0: 3, 448.0: 1, 458.0: 10, 457.0: 34}, 337.0: {337.0: 13, 409.0: 10, 448.0: 1, 457.0: 36, 458.0: 8}, 324.0: {324.0: 10, 401.0: 1, 409.0: 12, 448.0: 1, 457.0: 34, 458.0: 10}, 359.0: {359.0: 1, 401.0: 3, 409.0: 19, 448.0: 1, 457.0: 35, 458.0: 9}, 401.0: {401.0: 5, 409.0: 16, 415.0: 1, 432.0: 1, 448.0: 1, 457.0: 36, 458.0: 8}, 409.0: {409.0: 21, 415.0: 1, 435.0: 1, 448.0: 1, 457.0: 35, 458.0: 9}}"
140000,"{238.0: [['1--1'], 163], 242.0: [['1--1'], 163], 253.0: [['1--1'], 163], 262.0: [['1--1'], 163], 298.0: [['1--1'], 163], 337.0: [['1--1'], 163], 324.0: [['1--1'], 163], 359.0: [['1--1'], 163], 401.0: [['1--1'], 163], 409.0: [['1--1'], 162]}","{238.0: {238.0: 1, 255.0: 1, 294.0: 4, 409.0: 14, 401.0: 3, 448.0: 2, 457.0: 38, 458.0: 7, 494.0: 91, 510.0: 2}, 242.0: {242.0: 1, 255.0: 1, 268.0: 1, 294.0: 6, 401.0: 1, 409.0: 12, 415.0: 1, 448.0: 1, 457.0: 34, 458.0: 12, 494.0: 91, 510.0: 2}, 253.0: {253.0: 4, 294.0: 1, 401.0: 4, 409.0: 14, 448.0: 1, 457.0: 30, 458.0: 16, 494.0: 91, 510.0: 2}, 262.0: {262.0: 6, 409.0: 14, 401.0: 3, 448.0: 1, 457.0: 34, 458.0: 12, 494.0: 88, 510.0: 5}, 298.0: {298.0: 1, 294.0: 4, 409.0: 15, 401.0: 3, 448.0: 1, 458.0: 10, 457.0: 36, 494.0: 89, 510.0: 4}, 337.0: {337.0: 13, 409.0: 10, 448.0: 1, 457.0: 38, 458.0: 8, 494.0: 86, 510.0: 7}, 324.0: {324.0: 10, 401.0: 1, 409.0: 12, 448.0: 1, 457.0: 36, 458.0: 10, 494.0: 88, 510.0: 5}, 359.0: {359.0: 1, 401.0: 3, 409.0: 19, 448.0: 1, 457.0: 37, 458.0: 9, 494.0: 87, 510.0: 6}, 401.0: {401.0: 5, 409.0: 16, 415.0: 1, 432.0: 1, 448.0: 1, 457.0: 38, 458.0: 8, 494.0: 92, 510.0: 1}, 409.0: {409.0: 21, 415.0: 1, 435.0: 1, 448.0: 1, 457.0: 36, 458.0: 9, 474.0: 1, 494.0: 86, 510.0: 6}}"
175000,"{238.0: [['1--1'], 250], 242.0: [['1--1'], 250], 253.0: [['1--1'], 250], 262.0: [['1--1'], 250], 298.0: [['1--1'], 250], 337.0: [['1--1'], 249], 324.0: [['1--1'], 249], 359.0: [['1--1'], 249], 401.0: [['1--1'], 249], 409.0: [['1--1'], 249]}","{238.0: {238.0: 1, 255.0: 1, 294.0: 4, 409.0: 14, 401.0: 3, 448.0: 2, 457.0: 38, 458.0: 7, 494.0: 170, 510.0: 10}, 242.0: {242.0: 1, 255.0: 1, 268.0: 1, 294.0: 6, 401.0: 1, 409.0: 12, 415.0: 1, 448.0: 1, 457.0: 34, 458.0: 12, 494.0: 165, 510.0: 15}, 253.0: {253.0: 4, 294.0: 1, 401.0: 4, 409.0: 14, 448.0: 1, 457.0: 30, 458.0: 16, 494.0: 169, 510.0: 11}, 262.0: {262.0: 6, 409.0: 14, 401.0: 3, 448.0: 1, 457.0: 34, 458.0: 12, 494.0: 165, 510.0: 15}, 298.0: {298.0: 1, 294.0: 4, 409.0: 15, 401.0: 3, 448.0: 1, 458.0: 10, 457.0: 36, 494.0: 163, 510.0: 17}, 337.0: {337.0: 13, 409.0: 10, 448.0: 1, 457.0: 38, 458.0: 8, 494.0: 161, 510.0: 18}, 324.0: {324.0: 10, 401.0: 1, 409.0: 12, 448.0: 1, 457.0: 36, 458.0: 10, 494.0: 166, 510.0: 13}, 359.0: {359.0: 1, 401.0: 3, 409.0: 19, 448.0: 1, 457.0: 37, 458.0: 9, 494.0: 157, 510.0: 22}, 401.0: {401.0: 5, 409.0: 16, 415.0: 1, 432.0: 1, 448.0: 1, 457.0: 38, 458.0: 8, 494.0: 165, 510.0: 14}, 409.0: {409.0: 21, 415.0: 1, 435.0: 1, 448.0: 1, 457.0: 36, 458.0: 9, 474.0: 1, 494.0: 161, 510.0: 18}}"
210000,{},"{337.0: {337.0: 13, 409.0: 10, 448.0: 1, 457.0: 38, 458.0: 8, 494.0: 188, 510.0: 21, 500.0: 1}}"
245000,{},"{337.0: {337.0: 13, 409.0: 10, 448.0: 1, 457.0: 38, 458.0: 8, 494.0: 188, 510.0: 21, 500.0: 1}}"
280000,{},"{337.0: {337.0: 13, 409.0: 10, 448.0: 1, 457.0: 38, 458.0: 8, 494.0: 188, 510.0: 21, 500.0: 1}}"
315000,{},"{337.0: {337.0: 13, 409.0: 10, 448.0: 1, 457.0: 38, 458.0: 8, 494.0: 188, 510.0: 21, 500.0: 1}}"
350000,{},"{337.0: {337.0: 13, 409.0: 10, 448.0: 1, 457.0: 38, 458.0: 8, 494.0: 188, 510.0: 21, 500.0: 1}}"
385000,{},"{337.0: {337.0: 13, 409.0: 10, 448.0: 1, 457.0: 38, 458.0: 8, 494.0: 188, 510.0: 21, 500.0: 1}}"
420000,{},"{337.0: {337.0: 13, 409.0: 10, 448.0: 1, 457.0: 38, 458.0: 8, 494.0: 188, 510.0: 21, 500.0: 1}}"
455000,{},"{337.0: {337.0: 13, 409.0: 10, 448.0: 1, 457.0: 38, 458.0: 8, 494.0: 188, 510.0: 21, 500.0: 1}}"
490000,{},"{337.0: {337.0: 13, 409.0: 10, 448.0: 1, 457.0: 38, 458.0: 8, 494.0: 188, 510.0: 21, 500.0: 1}}"
525000,{},"{337.0: {337.0: 13, 409.0: 10, 448.0: 1, 457.0: 38, 458.0: 8, 494.0: 188, 510.0: 21, 500.0: 1}}"
560000,{},"{337.0: {337.0: 13, 409.0: 10, 448.0: 1, 457.0: 38, 458.0: 8, 494.0: 188, 510.0: 21, 500.0: 1}}"
595000,{},"{337.0: {337.0: 13, 409.0: 10, 448.0: 1, 457.0: 38, 458.0: 8, 494.0: 188, 510.0: 21, 500.0: 1}}"
630000,{},"{337.0: {337.0: 13, 409.0: 10, 448.0: 1, 457.0: 38, 458.0: 8, 494.0: 188, 510.0: 21, 500.0: 1}}"
665000,{},"{337.0: {337.0: 13, 409.0: 10, 448.0: 1, 457.0: 38, 458.0: 8, 494.0: 188, 510.0: 21, 500.0: 1}}"
700000,{},"{337.0: {337.0: 13, 409.0: 10, 448.0: 1, 457.0: 38, 458.0: 8, 494.0: 188, 510.0: 21, 500.0: 1}}"
735000,{},"{337.0: {337.0: 13, 409.0: 10, 448.0: 1, 457.0: 38, 458.0: 8, 494.0: 188, 510.0: 21, 500.0: 1}}"
770000,{},"{337.0: {337.0: 13, 409.0: 10, 448.0: 1, 457.0: 38, 458.0: 8, 494.0: 188, 510.0: 21, 500.0: 1}}"
805000,{},"{337.0: {337.0: 13, 409.0: 10, 448.0: 1, 457.0: 38, 458.0: 8, 494.0: 188, 510.0: 21, 500.0: 1}}"
840000,{},"{337.0: {337.0: 13, 409.0: 10, 448.0: 1, 457.0: 38, 458.0: 8, 494.0: 188, 510.0: 21, 500.0: 1}}"
875000,{},"{337.0: {337.0: 13, 409.0: 10, 448.0: 1, 457.0: 38, 458.0: 8, 494.0: 188, 510.0: 21, 500.0: 1}}"
910000,{},"{337.0: {337.0: 13, 409.0: 10, 448.0: 1, 457.0: 38, 458.0: 8, 494.0: 188, 510.0: 21, 500.0: 1}}"
945000,{},"{337.0: {337.0: 13, 409.0: 10, 448.0: 1, 457.0: 38, 458.0: 8, 494.0: 188, 510.0: 21, 500.0: 1}}"
980000,{},"{337.0: {337.0: 13, 409.0: 10, 448.0: 1, 457.0: 38, 458.0: 8, 494.0: 188, 510.0: 21, 500.0: 1}}"
1015000,{},"{337.0: {337.0: 13, 409.0: 10, 448.0: 1, 457.0: 38, 458.0: 8, 494.0: 188, 510.0: 21, 500.0: 1}}"
1050000,{},"{337.0: {337.0: 13, 409.0: 10, 448.0: 1, 457.0: 38, 458.0: 8, 494.0: 188, 510.0: 21, 500.0: 1}}"
1085000,{},"{337.0: {337.0: 13, 409.0: 10, 448.0: 1, 457.0: 38, 458.0: 8, 494.0: 188, 510.0: 21, 500.0: 1}}"
1120000,{},"{337.0: {337.0: 13, 409.0: 10, 448.0: 1, 457.0: 38, 458.0: 8, 494.0: 188, 510.0: 21, 500.0: 1}}"
1155000,{},"{337.0: {337.0: 13, 409.0: 10, 448.0: 1, 457.0: 38, 458.0: 8, 494.0: 188, 510.0: 21, 500.0: 1}}"
1190000,{},"{337.0: {337.0: 13, 409.0: 10, 448.0: 1, 457.0: 38, 458.0: 8, 494.0: 188, 510.0: 21, 500.0: 1}}"
1225000,{},"{337.0: {337.0: 13, 409.0: 10, 448.0: 1, 457.0: 38, 458.0: 8, 494.0: 188, 510.0: 21, 500.0: 1}}"
